symbol,instrument_typ,instrument_class,affects_derivative_position,last_event_time,reconstructed_position,trade_event_count,funding_event_count,settlement_event_count,event_count,final_status
AAVEUSDT,FFWCSX,DERIVATIVE,True,2021-11-02T11:59:59.999000Z,0,402,164,1,567,PASS
ADAM20,FFCCSX,DERIVATIVE,True,2020-06-24T06:19:12.538000Z,0,366,0,0,366,PASS
ADAUSD,FFWCSX,DERIVATIVE,True,2021-11-20T11:47:48.728000Z,0,500,75,0,575,PASS
ADAUSDT,FFWCSX,DERIVATIVE,True,2021-08-10T16:43:22.467000Z,0,152,3,0,155,PASS
ALTMEXUSD,FFWCSX,DERIVATIVE,True,2021-07-30T21:00:09.605000Z,0,51,19,0,70,PASS
AXSUSDT,FFWCSX,DERIVATIVE,True,2021-10-29T16:16:08.976000Z,0,831,88,0,919,PASS
BCHH21,FFCCSX,DERIVATIVE,True,2021-02-06T01:40:29.754000Z,0,101,0,0,101,PASS
BCHUSD,FFWCSX,DERIVATIVE,True,2021-02-02T16:14:13.307000Z,0,126,28,0,154,PASS
BMEXUSD,FFWCSX,DERIVATIVE,True,2022-11-28T21:05:09.635000Z,0,114,29,0,143,PASS
BMEX_USDT,IFXXXP,SPOT,False,2023-08-31T18:03:55.552000Z,0,201,0,0,201,PASS
BNBUSD,FFWCSX,DERIVATIVE,True,2022-01-15T20:02:51.503000Z,0,26,2,0,28,PASS
BNBUSDT,FFWCSX,DERIVATIVE,True,2021-10-11T16:36:13.469000Z,0,113,72,0,185,PASS
DOGEUSD,FFWCSX,DERIVATIVE,True,2024-11-04T22:30:18.788000Z,0,3651,2273,0,5924,PASS
DOGEUSDT,FFWCSX,DERIVATIVE,True,2021-09-20T12:37:28.066000Z,0,1735,333,0,2068,PASS
DOTUSDT,FFWCSX,DERIVATIVE,True,2021-08-17T07:04:54.304000Z,0,3359,147,0,3506,PASS
DOTUSDTH21,FFCCSX,DERIVATIVE,True,2021-03-24T23:41:56.187000Z,0,49,0,0,49,PASS
EOSH21,FFCCSX,DERIVATIVE,True,2021-02-07T15:38:05.259000Z,0,37,0,0,37,PASS
EOSUSDTZ20,FFCCSX,DERIVATIVE,True,2020-10-14T14:29:40.627000Z,0,7,0,0,7,PASS
ETHH21,FFCCSX,DERIVATIVE,True,2021-03-26T11:59:59.999000Z,0,1137,0,1,1138,PASS
ETHH22,FFCCSX,DERIVATIVE,True,2022-03-21T20:14:22.063000Z,0,477,0,0,477,PASS
ETHH23,FFCCSX,DERIVATIVE,True,2023-03-31T11:59:59.999000Z,0,390,0,1,391,PASS
ETHH24,FFCCSX,DERIVATIVE,True,2024-03-29T12:00:00Z,0,34,0,1,35,PASS
ETHM20,FFCCSX,DERIVATIVE,True,2020-06-26T07:16:24.011000Z,0,86,0,0,86,PASS
ETHM21,FFCCSX,DERIVATIVE,True,2021-06-05T14:15:59.838000Z,0,178,0,0,178,PASS
ETHM22,FFCCSX,DERIVATIVE,True,2022-06-24T11:59:59.999000Z,0,233,0,1,234,PASS
ETHM23,FFCCSX,DERIVATIVE,True,2023-06-30T11:59:59.999000Z,0,350,0,1,351,PASS
ETHM24,FFCCSX,DERIVATIVE,True,2024-06-28T12:00:10.288000Z,0,281,0,1,282,PASS
ETHU20,FFCCSX,DERIVATIVE,True,2020-08-20T19:34:39.661000Z,0,221,0,0,221,PASS
ETHU21,FFCCSX,DERIVATIVE,True,2021-08-02T15:13:47.175000Z,0,476,0,0,476,PASS
ETHU22,FFCCSX,DERIVATIVE,True,2022-09-17T08:34:43.983000Z,0,47,0,0,47,PASS
ETHU23,FFCCSX,DERIVATIVE,True,2023-09-29T11:59:59.999000Z,0,179,0,1,180,PASS
ETHU24,FFCCSX,DERIVATIVE,True,2024-09-27T12:00:15.299000Z,0,156,0,1,157,PASS
ETHUSD,FFWCSX,DERIVATIVE,True,2024-02-26T19:44:55.050000Z,0,17896,1574,0,19470,PASS
ETHUSDZ20,FFCCSX,DERIVATIVE,True,2020-10-12T16:32:24.038000Z,0,8,0,0,8,PASS
ETHZ20,FFCCSX,DERIVATIVE,True,2020-12-25T11:59:59.999000Z,0,1167,0,1,1168,PASS
