previous_action,next_action,count
ADD_LONG,ADD_LONG,8609
ADD_LONG,ADD_SHORT,221
ADD_LONG,CLOSE_LONG,259
ADD_LONG,CLOSE_SHORT,44
ADD_LONG,FLIP_LONG_TO_SHORT,8
ADD_LONG,FLIP_SHORT_TO_LONG,10
ADD_LONG,HOLD_LONG,41
ADD_LONG,HOLD_SHORT,16
ADD_LONG,NO_TRADE,36
ADD_LONG,OPEN_LONG,272
ADD_LONG,OPEN_SHORT,40
ADD_LONG,REDUCE_LONG,1073
ADD_LONG,REDUCE_SHORT,287
ADD_SHORT,ADD_LONG,237
ADD_SHORT,ADD_SHORT,4843
ADD_SHORT,CLOSE_LONG,60
ADD_SHORT,CLOSE_SHORT,70
ADD_SHORT,FLIP_LONG_TO_SHORT,3
ADD_SHORT,FLIP_SHORT_TO_LONG,2
ADD_SHORT,HOLD_LONG,7
ADD_SHORT,HOLD_SHORT,63
ADD_SHORT,NO_TRADE,8
ADD_SHORT,OPEN_LONG,57
ADD_SHORT,OPEN_SHORT,36
ADD_SHORT,REDUCE_LONG,184
ADD_SHORT,REDUCE_SHORT,651
CLOSE_LONG,ADD_LONG,125
CLOSE_LONG,ADD_SHORT,57
CLOSE_LONG,CLOSE_LONG,118
CLOSE_LONG,CLOSE_SHORT,18
CLOSE_LONG,FLIP_LONG_TO_SHORT,1
CLOSE_LONG,HOLD_LONG,1
CLOSE_LONG,HOLD_SHORT,6
CLOSE_LONG,NO_TRADE,9
CLOSE_LONG,OPEN_LONG,230
CLOSE_LONG,OPEN_SHORT,102
CLOSE_LONG,REDUCE_LONG,175
CLOSE_LONG,REDUCE_SHORT,29
CLOSE_SHORT,ADD_LONG,49
CLOSE_SHORT,ADD_SHORT,11
CLOSE_SHORT,CLOSE_LONG,18
CLOSE_SHORT,CLOSE_SHORT,25
CLOSE_SHORT,FLIP_SHORT_TO_LONG,1
CLOSE_SHORT,HOLD_LONG,4
CLOSE_SHORT,NO_TRADE,6
CLOSE_SHORT,OPEN_LONG,98
CLOSE_SHORT,OPEN_SHORT,70
CLOSE_SHORT,REDUCE_LONG,38
CLOSE_SHORT,REDUCE_SHORT,20
FLIP_LONG_TO_SHORT,ADD_LONG,4
FLIP_LONG_TO_SHORT,ADD_SHORT,50
FLIP_LONG_TO_SHORT,CLOSE_SHORT,14
FLIP_LONG_TO_SHORT,FLIP_LONG_TO_SHORT,1
FLIP_LONG_TO_SHORT,FLIP_SHORT_TO_LONG,4
FLIP_LONG_TO_SHORT,OPEN_LONG,1
FLIP_LONG_TO_SHORT,OPEN_SHORT,1
FLIP_LONG_TO_SHORT,REDUCE_LONG,14
FLIP_LONG_TO_SHORT,REDUCE_SHORT,2
FLIP_SHORT_TO_LONG,ADD_LONG,60
FLIP_SHORT_TO_LONG,ADD_SHORT,1
FLIP_SHORT_TO_LONG,CLOSE_LONG,4
FLIP_SHORT_TO_LONG,FLIP_LONG_TO_SHORT,4
FLIP_SHORT_TO_LONG,HOLD_LONG,2
FLIP_SHORT_TO_LONG,OPEN_LONG,2
FLIP_SHORT_TO_LONG,REDUCE_LONG,6
FLIP_SHORT_TO_LONG,REDUCE_SHORT,2
HOLD_LONG,ADD_LONG,38
HOLD_LONG,ADD_SHORT,3
HOLD_LONG,CLOSE_LONG,14
HOLD_LONG,FLIP_LONG_TO_SHORT,1
HOLD_LONG,HOLD_LONG,33
HOLD_LONG,OPEN_LONG,3
HOLD_LONG,OPEN_SHORT,1
HOLD_LONG,REDUCE_LONG,34
HOLD_LONG,REDUCE_SHORT,1
HOLD_SHORT,ADD_LONG,10
HOLD_SHORT,ADD_SHORT,73
HOLD_SHORT,CLOSE_LONG,1
HOLD_SHORT,CLOSE_SHORT,7
HOLD_SHORT,FLIP_SHORT_TO_LONG,1
HOLD_SHORT,HOLD_SHORT,129
HOLD_SHORT,OPEN_LONG,3
HOLD_SHORT,REDUCE_LONG,6
HOLD_SHORT,REDUCE_SHORT,54
NO_TRADE,ADD_LONG,30
NO_TRADE,ADD_SHORT,7
NO_TRADE,CLOSE_LONG,1
NO_TRADE,NO_TRADE,32
NO_TRADE,OPEN_LONG,16
NO_TRADE,OPEN_SHORT,14
NO_TRADE,REDUCE_LONG,17
OPEN_LONG,ADD_LONG,624
OPEN_LONG,ADD_SHORT,25
OPEN_LONG,CLOSE_LONG,58
OPEN_LONG,CLOSE_SHORT,7
OPEN_LONG,FLIP_LONG_TO_SHORT,2
OPEN_LONG,FLIP_SHORT_TO_LONG,1
OPEN_LONG,HOLD_LONG,6
OPEN_LONG,HOLD_SHORT,1
OPEN_LONG,NO_TRADE,3
OPEN_LONG,OPEN_LONG,55
OPEN_LONG,OPEN_SHORT,11
OPEN_LONG,REDUCE_LONG,65
OPEN_LONG,REDUCE_SHORT,32
OPEN_SHORT,ADD_LONG,17
OPEN_SHORT,ADD_SHORT,241
OPEN_SHORT,CLOSE_LONG,4
OPEN_SHORT,CLOSE_SHORT,28
OPEN_SHORT,FLIP_SHORT_TO_LONG,2
OPEN_SHORT,HOLD_SHORT,3
OPEN_SHORT,OPEN_LONG,5
