dataset,confidence_field,status,row_count
trade_actions,ordering_confidence,HIGH,158520
trade_actions,ordering_confidence,LOW,1782
trade_actions,action_confidence,HIGH,160260
trade_actions,action_confidence,MEDIUM,42
trade_actions,accounting_confidence,HIGH,10002
trade_actions,accounting_confidence,MEDIUM,150300
trade_actions,price_confidence,HIGH,5809
trade_actions,price_confidence,MEDIUM,154493
trade_actions,wallet_confidence,AGGREGATE_ONLY,160302
trade_actions,overall_confidence,LOW,1782
trade_actions,overall_confidence,MEDIUM,158520
order_episodes,ordering_confidence,HIGH,31211
order_episodes,ordering_confidence,LOW,491
order_episodes,action_confidence,HIGH,31669
order_episodes,action_confidence,MEDIUM,33
order_episodes,accounting_confidence,HIGH,1034
order_episodes,accounting_confidence,MEDIUM,30668
order_episodes,price_confidence,HIGH,644
order_episodes,price_confidence,MEDIUM,31058
order_episodes,wallet_confidence,AGGREGATE_ONLY,31702
order_episodes,overall_confidence,LOW,491
order_episodes,overall_confidence,MEDIUM,31211
decision_episodes,ordering_confidence,HIGH,31740
decision_episodes,ordering_confidence,LOW,491
decision_episodes,action_confidence,HIGH,32198
decision_episodes,action_confidence,MEDIUM,33
decision_episodes,accounting_confidence,HIGH,1563
decision_episodes,accounting_confidence,MEDIUM,30668
decision_episodes,price_confidence,HIGH,644
decision_episodes,price_confidence,MEDIUM,31058
decision_episodes,price_confidence,NOT_APPLICABLE,529
decision_episodes,wallet_confidence,AGGREGATE_ONLY,32231
decision_episodes,overall_confidence,LOW,491
decision_episodes,overall_confidence,MEDIUM,31740
trade_cycles,ordering_confidence,HIGH,1275
trade_cycles,ordering_confidence,LOW,126
trade_cycles,action_confidence,HIGH,1401
trade_cycles,accounting_confidence,HIGH,5
trade_cycles,accounting_confidence,MEDIUM,1396
trade_cycles,price_confidence,HIGH,51
trade_cycles,price_confidence,MEDIUM,1350
trade_cycles,wallet_confidence,MEDIUM,1401
trade_cycles,overall_confidence,LOW,126
trade_cycles,overall_confidence,MEDIUM,1275
