symbol,model,rows_seen,rows_with_future_label,action_accuracy,direction_accuracy,action_macro_f1,action_weighted_f1,target_exposure_mae,target_exposure_correlation,open_timing_error_seconds,close_timing_error_seconds,add_recall,reduce_recall,flip_recall,cycle_direction_match,confidence_calibration_gap
AAVEUSDT,frequency_baseline,84,83,0.6144578313253012,0.9518072289156626,0.19029850746268656,0.4677216327998561,0.17886171946356438,0.3294174606978061,923191.4875000002,61314.276892857124,1.0,0.0,,1.0,0.1149712915609446
AAVEUSDT,distilled_rules,84,83,0.24096385542168675,0.9156626506024096,0.10507605820105818,0.2737915949512335,0.17271616942802256,0.419051055585688,923191.4875000002,35619.00110714285,0.17647058823529413,0.4583333333333333,,0.9620253164556962,0.4938777975667365
AAVEUSDT,cross_asset_logistic,84,83,0.7469879518072289,0.9518072289156626,0.38370370370370366,0.7088621151271755,0.12326077306602509,0.6747242168480413,923191.4875000002,37046.62753571429,0.8627450980392157,0.75,,1.0,0.25313858492152463
ADAM20,frequency_baseline,78,77,0.37662337662337664,0.6883116883116883,0.11246612466124661,0.2448527082673424,0.14727917942996,0.7206605640744538,292608.0089000001,32169.228967741932,1.0,0.0,0.0,0.803030303030303,0.2862707519289618
ADAM20,distilled_rules,78,77,0.24675324675324675,0.7142857142857143,0.08725718725718724,0.23923954833045744,0.1500947281472953,0.6930757165387281,286492.48420000006,18317.87251612903,0.32432432432432434,0.3684210526315789,0.0,0.8333333333333334,0.5000501155539252
ADAM20,cross_asset_logistic,78,77,0.12987012987012986,0.7532467532467533,0.09602194787379972,0.03783870450537117,0.1119901464328514,0.7852075257378404,292608.0089000001,28435.26529032258,1.0,0.10526315789473684,0.0,0.8787878787878788,0.4467078487877157
ADAUSD,frequency_baseline,17,16,0.4375,0.8125,0.12727272727272726,0.2784090909090909,0.48122221095580836,0.11804022594257803,30947.204,169120.18125,1.0,0.0,0.0,0.8666666666666667,0.2562372079484063
ADAUSD,distilled_rules,17,16,0.0625,0.8125,0.022727272727272724,0.06818181818181818,0.43234999999999996,0.22627308866802026,30947.204,129553.708875,0.125,0.16666666666666666,0.0,0.8666666666666667,0.5875505771452462
ADAUSD,cross_asset_logistic,17,16,0.5,0.8125,0.22095238095238096,0.45,0.42194463408788047,0.18798998801168698,30947.204,121234.471,0.5,0.6666666666666666,0.0,0.8666666666666667,0.3852394457723747
ADAUSDT,frequency_baseline,4,3,0.0,0.6666666666666666,0.0,0.0,0.3895642202775753,-0.5335271678728754,,26299.698333333334,,0.0,,1.0,0.5356232396163184
ADAUSDT,distilled_rules,4,3,0.0,0.6666666666666666,0.0,0.0,0.5277273379442479,-0.14885316086258082,,26299.698333333334,,0.0,,1.0,0.6644667480320785
ADAUSDT,cross_asset_logistic,4,3,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.4136167975033031,-0.08908740984360743,,25925.809333333335,,0.5,,1.0,0.3259184427540759
ALTMEXUSD,frequency_baseline,14,13,0.7692307692307693,0.8461538461538461,0.2898550724637681,0.6688963210702342,0.36952901889343326,0.32312955671595434,95650.818,217168.64500000002,1.0,,,1.0,0.3133161883717276
ALTMEXUSD,distilled_rules,14,13,0.07692307692307693,0.8461538461538461,0.03333333333333334,0.12820512820512822,0.3267647398476278,0.1909881526905225,95650.818,85248.841,0.1,,,1.0,0.5823586141216894
ALTMEXUSD,cross_asset_logistic,14,13,0.6923076923076923,0.8461538461538461,0.225,0.6923076923076923,0.28455297500279003,0.3099683523477462,95650.818,85248.841,0.9,,,1.0,0.10078869111602795
AXSUSDT,frequency_baseline,83,82,0.4024390243902439,0.8292682926829268,0.11478260869565218,0.2939554612937434,0.15578251399126172,0.4183379388162898,1075173.15175,17623.74541666667,1.0,0.0,,0.8831168831168831,0.3171718152306767
AXSUSDT,distilled_rules,83,82,0.3170731707317073,0.8292682926829268,0.15744949494949498,0.2563285291943829,0.15366612815419162,0.7139577538213553,1075173.15175,4033.0175,0.023809523809523808,0.7419354838709677,,0.8571428571428571,0.4554729916938852
AXSUSDT,cross_asset_logistic,83,82,0.25609756097560976,0.926829268292683,0.10769230769230768,0.2757973733583489,0.06547768904611355,0.9011727097542571,1075173.15175,17623.74541666667,1.0,0.0,,0.987012987012987,0.21439649163961128
BCHH21,frequency_baseline,14,13,0.5384615384615384,0.8461538461538461,0.17500000000000002,0.37692307692307697,0.23208940457812405,-0.47641578005823276,562066.145,174311.59139999998,1.0,0.0,,1.0,0.00624884059570241
BCHH21,distilled_rules,14,13,0.15384615384615385,0.46153846153846156,0.0816326530612245,0.13186813186813187,0.33451923076923074,-0.4616741709287988,562066.145,32.0488,0.0,0.6666666666666666,,0.5454545454545454,0.5205682179063253
BCHH21,cross_asset_logistic,14,13,0.6153846153846154,0.8461538461538461,0.2892156862745098,0.5203619909502263,0.30451770782470705,-0.3392091642675682,562066.145,140481.2992,1.0,0.3333333333333333,,1.0,0.20647405046181896
BCHUSD,frequency_baseline,43,42,0.6904761904761905,0.8571428571428571,0.13615023474178403,0.5640509725016768,0.15753973698679405,0.2528645495420003,2870905.4035,45726.3539,1.0,0.0,0.0,0.972972972972973,0.1529079387821743
BCHUSD,distilled_rules,43,42,0.21428571428571427,0.8095238095238095,0.06318681318681318,0.2923425780568638,0.196245780184478,-0.011484367812564372,2870905.4035,25815.9526,0.27586206896551724,0.25,0.0,0.918918918918919,0.5203776764506491
BCHUSD,cross_asset_logistic,43,42,0.6904761904761905,0.8571428571428571,0.14427860696517414,0.59772565742715,0.1735208744973129,0.24867122131370206,2870905.4035,45723.7005,1.0,0.0,0.0,0.972972972972973,0.19045290711365515
BNBUSD,frequency_baseline,6,5,0.8,0.8,0.4444444444444445,0.7111111111111111,0.6419140916144155,-0.1904808510583766,,28614.068,1.0,,,1.0,0.3393767603836816
BNBUSD,distilled_rules,6,5,0.4,0.8,0.16666666666666666,0.5333333333333333,0.6776515151515151,-0.5559497771501984,,28614.068,0.5,,,1.0,0.2947818503319532
BNBUSD,cross_asset_logistic,6,5,0.6,0.8,0.2857142857142857,0.6857142857142857,0.4504935619469845,-0.5117847966358265,,0.0,0.75,,,1.0,0.13448422931487658
BNBUSDT,frequency_baseline,25,24,0.4583333333333333,0.75,0.15714285714285714,0.2880952380952381,0.16695409807494146,0.37613684890871174,2020713.6331999998,184908.27625000002,1.0,0.0,,1.0,0.1916536640850574
BNBUSDT,distilled_rules,25,24,0.08333333333333333,0.5833333333333334,0.06349206349206349,0.07407407407407407,0.22811365177657628,0.21549775009013722,2020713.6331999998,121262.293625,0.0,0.5,,0.7222222222222222,0.6487151949413259
BNBUSDT,cross_asset_logistic,25,24,0.5,0.75,0.27187500000000003,0.3484375,0.1557998743097969,0.5266664724443446,2020713.6331999998,184878.59725000002,1.0,0.5,,1.0,0.16181032500790557
DOGEUSD,frequency_baseline,1052,1051,0.5366317792578497,0.9448144624167459,0.12534970425812236,0.3770012863700123,0.20188992885445553,0.36542230517700186,659957.2132857143,66301.0504541284,1.0,0.0,0.0,0.9890438247011952,0.0695698357699262
DOGEUSD,distilled_rules,1052,1051,0.26070409134157946,0.8553758325404377,0.14572807140456664,0.2981984504452598,0.11903032636956966,0.8435587318540329,657608.5961836735,38541.97695412845,0.210896309314587,0.37305699481865284,0.0,0.8874501992031872,0.45056157924390466
DOGEUSD,cross_asset_logistic,1052,1051,0.6403425309229306,0.9438629876308278,0.17380129797432042,0.603640563630721,0.07554615777860067,0.9439410845328768,659957.2132857143,37756.5831146789,0.7363796133567663,0.694300518134715,0.0,0.9880478087649402,0.04812344094955846
DOGEUSDT,frequency_baseline,291,290,0.5689655172413793,0.8241379310344827,0.130386700913242,0.42463785230672335,0.12199881196641874,0.3660420850624653,386950.75399999996,60198.34418823531,1.0,0.0,,0.908745247148289,0.06848413213924104
DOGEUSDT,distilled_rules,291,290,0.2103448275862069,0.6241379310344828,0.13441859934727832,0.23305021368158305,0.11018194457729155,0.6068137695208364,368281.65035999997,43790.93907058825,0.15,0.3620689655172414,,0.6501901140684411,0.5740894793987442
DOGEUSDT,cross_asset_logistic,291,290,0.6793103448275862,0.8724137931034482,0.24308143221755785,0.6014880018129701,0.047671484760711216,0.8849592907497205,386950.75399999996,51278.22789411765,0.9722222222222222,0.5517241379310345,,0.9619771863117871,0.1438236840064791
DOTUSDT,frequency_baseline,90,89,0.4606741573033708,0.898876404494382,0.09080841638981174,0.2928316348750109,0.16537710420856042,0.24524975424836937,1423741.3522857144,73411.69283333332,1.0,0.0,0.0,0.975609756097561,0.14719973107663012
DOTUSDT,distilled_rules,90,89,0.3707865168539326,0.8202247191011236,0.12558380902957966,0.42601004064068854,0.0932042938288556,0.8575310110331633,1423741.3522857144,44751.923928571414,0.5365853658536586,0.3235294117647059,0.0,0.8902439024390244,0.47088245680942703
DOTUSDT,cross_asset_logistic,90,89,0.6629213483146067,0.898876404494382,0.23680387409200968,0.601213374323258,0.06938547846853192,0.9020664380620336,1423741.3522857144,47379.284309523806,0.9512195121951219,0.5882352941176471,0.0,0.975609756097561,0.08320566809891121
DOTUSDTH21,frequency_baseline,16,15,0.26666666666666666,0.6666666666666666,0.10526315789473685,0.11228070175438597,0.23026122557399267,-0.19638879233016124,1367958.5065000001,75366.827,1.0,0.0,,1.0,0.2586129394106311
DOTUSDTH21,distilled_rules,16,15,0.13333333333333333,0.5333333333333333,0.07142857142857142,0.13333333333333333,0.3067380812158389,-0.3577540835675705,1367958.5065000001,75366.827,0.5,0.0,,0.8,0.5867654098371462
DOTUSDTH21,cross_asset_logistic,16,15,0.26666666666666666,0.6666666666666666,0.11111111111111112,0.11851851851851852,0.26035730942435886,-0.2730914128931817,1367958.5065000001,75366.827,1.0,0.0,,1.0,0.1759111252255234
EOSH21,frequency_baseline,4,3,0.0,0.3333333333333333,0.0,0.0,0.2956327579746402,1.0000000000000002,598770.241,10417.448,,,,1.0,0.5356232396163184
EOSH21,distilled_rules,4,3,0.0,0.3333333333333333,0.0,0.0,0.14101430383699162,0.9975381821780669,598770.241,10417.448,,,,1.0,0.7312855891989606
EOSH21,cross_asset_logistic,4,3,0.0,0.3333333333333333,0.0,0.0,0.09561475118001302,0.9999516088135184,598770.241,10417.448,,,,1.0,0.6003415419210314
EOSUSDTZ20,frequency_baseline,3,2,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5841090993110811,-1.0000000000000002,,131358.799,1.0,,,1.0,0.015460453320653045
EOSUSDTZ20,distilled_rules,3,2,0.0,0.0,0.0,0.0,0.75,-1.0,,131358.799,0.0,,,0.0,0.5668492468851007
EOSUSDTZ20,cross_asset_logistic,3,2,0.5,0.5,0.3333333333333333,0.3333333333333333,0.7013993263244629,-1.0,,131358.799,1.0,,,1.0,0.07706360666686551
ETHH21,frequency_baseline,298,297,0.5050505050505051,0.9528619528619529,0.09652509652509654,0.3412503412503413,0.1745107241344096,0.2777215482843552,207196.99175000002,22164.440601449285,1.0,0.0,,0.9826388888888888,0.16688522562921665
ETHH21,distilled_rules,298,297,0.3434343434343434,0.9259259259259259,0.13194444444444445,0.31081649831649827,0.1470164580832668,0.6636054096089207,207196.99175000002,10068.95815942029,0.0728476821192053,0.6976744186046512,,0.9444444444444444,0.40447493909275073
ETHH21,cross_asset_logistic,298,297,0.7441077441077442,0.9562289562289562,0.2186829673747693,0.720297642391247,0.05999789579598185,0.9128763142350441,207196.99175000002,10860.35713768116,0.8344370860927153,0.7441860465116279,,0.9861111111111112,0.13028094653048589
ETHH22,frequency_baseline,144,143,0.5944055944055944,0.972027972027972,0.18640350877192982,0.44319715372346946,0.12739370099981975,0.17315894068059262,1408809.7419999999,39358.03816363636,1.0,0.0,,1.0,0.1469238614754494
ETHH22,distilled_rules,144,143,0.4405594405594406,0.9300699300699301,0.21402116402116403,0.4868353868353868,0.08476378394878886,0.8113868782104104,1408809.7419999999,26936.50605454545,0.2823529411764706,0.7450980392156863,,0.9496402877697842,0.34870527020755254
ETHH22,cross_asset_logistic,144,143,0.8671328671328671,0.972027972027972,0.4401098901098901,0.8452316913855374,0.04447467663273477,0.9207221910390673,1408809.7419999999,29089.572781818184,0.9411764705882353,0.8627450980392157,,1.0,0.2382018347072016
ETHM20,frequency_baseline,11,10,0.4,0.8,0.14285714285714288,0.2285714285714286,0.3245895230299315,-0.2850037627344697,2103141.363,55165.15079999999,1.0,0.0,,1.0,0.30888539254685493
ETHM20,distilled_rules,11,10,0.0,0.8,0.0,0.0,0.42028985507246375,-0.19484486930746928,2103141.363,55165.15079999999,0.0,0.0,,1.0,0.6222688840200725
ETHM20,cross_asset_logistic,11,10,0.6,0.8,0.3484848484848485,0.4909090909090909,0.38904662339583684,-0.12838147076978979,2103141.363,54442.346600000004,1.0,0.6666666666666666,,1.0,0.1708307450773551
