symbol,model,rows_seen,rows_with_future_label,action_accuracy,direction_accuracy,action_macro_f1,action_weighted_f1,target_exposure_mae,target_exposure_correlation,open_timing_error_seconds,close_timing_error_seconds,add_recall,reduce_recall,flip_recall,cycle_direction_match,confidence_calibration_gap
AAVEUSDT,frequency_baseline,84,83,0.6144578313253012,0.9518072289156626,0.19029850746268656,0.4677216327998561,0.17884177931559647,0.3298453061984995,923191.4875,61314.276892857146,1.0,0.0,,1.0,0.11495459335789021
AAVEUSDT,distilled_rules,84,83,0.24096385542168675,0.9156626506024096,0.10507605820105818,0.2737915949512335,0.17271616942802248,0.41905105558568795,923191.4875,35619.00110714285,0.17647058823529413,0.4583333333333333,,0.9620253164556962,0.49387779756673655
AAVEUSDT,cross_asset_logistic,84,83,0.7349397590361446,0.9518072289156626,0.3753042501404231,0.6967153391698229,0.12243977272613131,0.6752641594038313,923191.4875,40093.503607142855,0.8627450980392157,0.7083333333333334,,1.0,0.12507558004698094
ADAM20,frequency_baseline,78,77,0.37662337662337664,0.6883116883116883,0.11246612466124661,0.2448527082673424,0.14727197876748185,0.7207310975680504,292608.0089,32169.228967741936,1.0,0.0,0.0,0.803030303030303,0.2862802011676092
ADAM20,distilled_rules,78,77,0.24675324675324675,0.7142857142857143,0.08725718725718727,0.23923954833045744,0.1500947281472953,0.6930757165387277,286492.4842,18317.872516129035,0.32432432432432434,0.3684210526315789,0.0,0.8333333333333334,0.5000501155539252
ADAM20,cross_asset_logistic,78,77,0.11688311688311688,0.7792207792207793,0.06612466124661248,0.03066202090592335,0.11162833200474567,0.7839219967864258,292608.0089,29456.419225806454,1.0,0.05263157894736842,0.0,0.9090909090909091,0.4525642557254665
ADAUSD,frequency_baseline,17,16,0.4375,0.8125,0.12727272727272726,0.2784090909090909,0.48125169366776593,0.11785969134657644,30947.204,169120.18125,1.0,0.0,0.0,0.8666666666666667,0.25620993047466906
ADAUSD,distilled_rules,17,16,0.0625,0.8125,0.022727272727272724,0.06818181818181818,0.43235,0.2262730886680203,30947.204,129553.708875,0.125,0.16666666666666666,0.0,0.8666666666666667,0.5875505771452462
ADAUSD,cross_asset_logistic,17,16,0.5625,0.8125,0.24761904761904763,0.5059523809523809,0.4221589333534241,0.1888292111337883,30947.204,121234.471,0.625,0.6666666666666666,0.0,0.8666666666666667,0.3586942943976272
ADAUSDT,frequency_baseline,4,3,0.0,0.6666666666666666,0.0,0.0,0.38956422027757537,-0.5335271678728752,,26299.698333333334,,0.0,,1.0,0.5356232396163184
ADAUSDT,distilled_rules,4,3,0.0,0.6666666666666666,0.0,0.0,0.5277273379442479,-0.14885316086258082,,26299.698333333334,,0.0,,1.0,0.6644667480320785
ADAUSDT,cross_asset_logistic,4,3,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.41061653810388904,-0.084522089460723,,25925.809333333335,,0.5,,1.0,0.32596519076467245
ALTMEXUSD,frequency_baseline,14,13,0.7692307692307693,0.8461538461538461,0.2898550724637681,0.6688963210702342,0.3695245630988157,0.32321692520081247,95650.818,217168.64500000002,1.0,,,1.0,0.3132890077530842
ALTMEXUSD,distilled_rules,14,13,0.07692307692307693,0.8461538461538461,0.03333333333333334,0.12820512820512822,0.3267647398476278,0.19098815269052255,95650.818,85248.841,0.1,,,1.0,0.5823586141216895
ALTMEXUSD,cross_asset_logistic,14,13,0.7692307692307693,0.8461538461538461,0.23809523809523808,0.7326007326007326,0.2863137512291272,0.3034669709610173,95650.818,85248.841,1.0,,,1.0,0.16265660721082714
AXSUSDT,frequency_baseline,83,82,0.4024390243902439,0.8292682926829268,0.11478260869565218,0.2939554612937434,0.15578251399126167,0.4183379388162897,1075173.15175,17623.745416666665,1.0,0.0,,0.8831168831168831,0.31717181523067683
AXSUSDT,distilled_rules,83,82,0.3170731707317073,0.8292682926829268,0.15744949494949495,0.2563285291943829,0.15366612815419162,0.713957753821355,1075173.15175,4033.0175,0.023809523809523808,0.7419354838709677,,0.8571428571428571,0.455472991693885
