symbol,decision_row_count,order_row_count,synthetic_row_count,first_decision_time_utc,last_decision_time_utc,instrument_class,payout_model,quote_currency,settlement_currency,multiplier_major,resolved_lot_size,terms_resolution_status,train_position_scale_contracts,market_coverage_status,market_bar_count,market_grid_gap_count
AAVEUSDT,84,84,0,2021-07-27T21:27:02.794000Z,2021-10-30T02:19:57.153000Z,DERIVATIVE,QUANTO,USDT,XBT,0.000001,1000,SNAPSHOT_FALLBACK,9677.0,PASS,2358,0
ADAM20,78,78,0,2020-05-02T14:26:45.069000Z,2020-06-24T06:16:37.784000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,1828163.0,PASS,1361,0
ADAUSD,17,17,0,2021-10-26T05:00:42.074000Z,2021-11-20T11:47:48.728000Z,DERIVATIVE,QUANTO,USD,XBT,0.0001,1,SNAPSHOT_FALLBACK,15000.0,PASS,703,0
ADAUSDT,4,4,0,2021-08-09T18:47:45.807000Z,2021-08-10T16:42:44.902000Z,DERIVATIVE,QUANTO,USDT,XBT,0.01,1000,SNAPSHOT_FALLBACK,544.0,PASS,119,0
ALTMEXUSD,14,14,0,2021-07-23T04:23:53.756000Z,2021-07-30T06:04:36.025000Z,DERIVATIVE,QUANTO,USD,XBT,0.000001,1,SNAPSHOT_FALLBACK,10032.0,PASS,243,0
AXSUSDT,83,83,0,2021-08-11T07:20:56.717000Z,2021-10-29T16:16:08.976000Z,DERIVATIVE,QUANTO,USDT,XBT,0.00001,1,SNAPSHOT_FALLBACK,24473.0,PASS,1933,0
BCHH21,14,14,0,2021-01-20T00:52:39.433000Z,2021-02-06T01:40:29.690000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,400.0,PASS,506,0
BCHUSD,43,43,0,2020-09-13T01:17:39.200000Z,2021-02-02T16:14:13.307000Z,DERIVATIVE,QUANTO,USD,XBT,0.000001,1,SNAPSHOT_FALLBACK,23000.0,PASS,3520,0
BMEXUSD,41,41,0,2022-11-16T01:22:48.452000Z,2022-11-28T21:05:09.635000Z,DERIVATIVE,QUANTO,USD,XBT,0.00001,1,SNAPSHOT_FALLBACK,1.0,PASS,405,0
BNBUSD,6,6,0,2022-01-15T09:17:33.275000Z,2022-01-15T20:01:11.657000Z,DERIVATIVE,QUANTO,USD,XBT,0.000001,1,SNAPSHOT_FALLBACK,3300.0,PASS,108,0
BNBUSDT,25,25,0,2021-05-24T05:47:01.011000Z,2021-10-11T16:32:17.338000Z,DERIVATIVE,QUANTO,USDT,XBT,0.000001,100,SNAPSHOT_FALLBACK,5465.0,PASS,3468,0
DOGEUSD,1052,1052,0,2021-10-01T10:11:06.936000Z,2024-11-04T22:30:18.788000Z,DERIVATIVE,QUANTO,USD,XBT,0.001,1,SNAPSHOT_FALLBACK,37884.0,PASS,27187,0
DOGEUSDT,291,291,0,2021-02-08T04:42:56.268000Z,2021-09-20T12:37:28.036000Z,DERIVATIVE,QUANTO,USDT,XBT,0.001,1000,SNAPSHOT_FALLBACK,77777.0,PASS,5457,0
DOTUSDT,90,90,0,2021-03-06T23:27:08.836000Z,2021-08-17T07:04:54.304000Z,DERIVATIVE,QUANTO,USDT,XBT,0.0001,1000,SNAPSHOT_FALLBACK,21109.0,PASS,4012,0
DOTUSDTH21,16,16,0,2021-01-13T22:27:28.708000Z,2021-03-24T23:29:45.915000Z,DERIVATIVE,QUANTO,USDT,XBT,0.0001,1,SNAPSHOT_FALLBACK,414.0,PASS,1778,0
EOSH21,4,4,0,2021-01-31T11:31:18.385000Z,2021-02-07T15:38:03.522000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,5555.0,PASS,269,0
EOSUSDTZ20,3,3,0,2020-10-12T14:58:26.272000Z,2020-10-14T14:29:40.627000Z,DERIVATIVE,QUANTO,USDT,XBT,0.0001,1,SNAPSHOT_FALLBACK,11110.0,PASS,145,0
ETHH21,298,298,0,2020-12-26T15:54:11.011000Z,2021-03-25T10:56:12.955000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,935.0,PASS,2228,0
ETHH22,144,144,0,2021-12-31T20:19:58.340000Z,2022-03-21T20:14:22.063000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,36306000.0,PASS,2017,0
ETHH23,168,168,0,2023-02-01T14:53:14.510000Z,2023-03-30T02:32:09.822000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,1453,0
ETHH24,16,16,0,2024-01-12T13:59:36.205000Z,2024-03-19T08:55:31.231000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,1700,0
ETHM20,11,11,0,2020-05-29T00:07:56.507000Z,2020-06-26T07:16:24.011000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,552.0,PASS,776,0
ETHM21,27,27,0,2021-03-26T23:49:14.441000Z,2021-06-05T14:15:59.838000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,157.0,PASS,1792,0
ETHM22,147,147,0,2022-03-16T07:47:35.207000Z,2022-06-14T21:41:27.079000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,8946000.0,PASS,2176,0
ETHM23,152,152,0,2023-03-23T15:38:09.675000Z,2023-06-28T19:30:21.150000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,2429,0
