window,split,model,train_rows,rows_seen,rows_with_future_label,action_accuracy,direction_accuracy,action_macro_f1,action_weighted_f1,target_exposure_mae,target_exposure_correlation,open_timing_error_seconds,close_timing_error_seconds,add_recall,reduce_recall,flip_recall,cycle_direction_match,confidence_calibration_gap
WF1,VALIDATION,frequency_baseline,9059,877,877,0.508551881413911,0.8928164196123147,0.12999711840771444,0.3540589402970187,0.20976527422985072,0.4267860215465094,1078287.199109091,25097.08429059829,1.0,0.0,0.0,0.9479418886198547,0.047766775469267775
WF1,VALIDATION,distilled_rules,9059,877,877,0.26795895096921324,0.7639680729760547,0.17228861453783031,0.31942332175658167,0.11153384609964903,0.8692109515925265,654402.4021818181,14036.56878062678,0.26371308016877637,0.29292929292929293,0.0,0.7905569007263923,0.46426482490952276
WF1,VALIDATION,cross_asset_logistic,9059,877,877,0.5815279361459521,0.8665906499429875,0.16747338040993814,0.520199975870846,0.07269999217450532,0.9541357355628403,1078287.199109091,14698.742193732192,0.7911392405063291,0.6363636363636364,0.0,0.9200968523002422,0.06692474838832606
WF1,TEST,frequency_baseline,9059,487,485,0.4556701030927835,0.8762886597938144,0.12370711466450764,0.3131018918949937,0.10241754206218864,0.632795911756901,1424775.908423077,66877.76405581395,1.0,0.0,0.0,0.9219088937093276,0.1989932614195191
WF1,TEST,distilled_rules,9059,487,485,0.2556701030927835,0.7752577319587629,0.12177808817172665,0.3025967835886395,0.0610348493529828,0.8339015845946437,823660.4411538462,44410.7388,0.2620967741935484,0.2712765957446808,0.0,0.8026030368763557,0.40741976744942204
WF1,TEST,cross_asset_logistic,9059,487,485,0.41855670103092785,0.8907216494845361,0.10723551950139434,0.3059146311711858,0.03456522750946228,0.9288055933507277,1424775.908423077,39867.121916279066,0.6370967741935484,0.6436170212765957,0.0,0.9370932754880694,0.14718901471010865
WF2,VALIDATION,frequency_baseline,9936,487,485,0.4556701030927835,0.8762886597938144,0.12370711466450764,0.3131018918949937,0.10241754206218864,0.632795911756901,1424775.908423077,66877.76405581395,1.0,0.0,0.0,0.9219088937093276,0.1989932614195191
WF2,VALIDATION,distilled_rules,9936,487,485,0.2556701030927835,0.7752577319587629,0.12177808817172665,0.3025967835886395,0.0610348493529828,0.8339015845946437,823660.4411538462,44410.7388,0.2620967741935484,0.2712765957446808,0.0,0.8026030368763557,0.40741976744942204
WF2,VALIDATION,cross_asset_logistic,9936,487,485,0.41855670103092785,0.8907216494845361,0.10723551950139434,0.3059146311711858,0.03456522750946228,0.9288055933507277,1424775.908423077,39867.121916279066,0.6370967741935484,0.6436170212765957,0.0,0.9370932754880694,0.14718901471010865
WF2,TEST,frequency_baseline,9936,177,176,0.3465909090909091,0.7784090909090909,0.08947963800904976,0.19887906211435621,0.11302386401050045,0.49495285973684766,953012.2562857143,118015.4314404762,1.0,0.0,,0.8154761904761905,0.28665038431039414
WF2,TEST,distilled_rules,9936,177,176,0.2159090909090909,0.625,0.08661996336996337,0.24662093115218112,0.06575438732733907,0.590491828488453,892552.1088571429,72905.99504761904,0.17647058823529413,0.27631578947368424,,0.6488095238095238,0.4513702599912132
WF2,TEST,cross_asset_logistic,9936,177,176,0.5227272727272727,0.8693181818181818,0.1706084685537217,0.4425658622181626,0.02938578242953084,0.9065241735009171,953012.2562857143,76488.01608333334,0.8705882352941177,0.5657894736842105,,0.9107142857142857,0.13304164765607798
WF3,VALIDATION,frequency_baseline,10423,142,141,0.3404255319148936,0.7375886524822695,0.08858381502890172,0.19845037510761282,0.10953324307464513,0.6552910231626076,1107859.0232000002,109972.214359375,1.0,0.0,,0.7703703703703704,0.29785259205035697
WF3,VALIDATION,distilled_rules,10423,142,141,0.22695035460992907,0.6312056737588653,0.08831837505904581,0.24892511482527463,0.06165014944342393,0.4220637103858474,1023214.8168000001,64807.097625,0.20833333333333334,0.27586206896551724,,0.6592592592592592,0.4522493817521842
WF3,VALIDATION,cross_asset_logistic,10423,142,141,0.46099290780141844,0.851063829787234,0.15445473533196902,0.37481564009415164,0.026631479654768364,0.883329878593718,1107859.0232000002,79899.69271875,0.8611111111111112,0.4827586206896552,,0.8888888888888888,0.1309273277570339
WF3,TEST,frequency_baseline,10423,64,64,0.453125,0.953125,0.15591397849462366,0.2825940860215054,0.10144249759595238,0.17548428402518493,565895.339,140919.16551515152,1.0,0.0,,1.0,0.2423651413081667
WF3,TEST,distilled_rules,10423,64,64,0.21875,0.765625,0.11194444444444444,0.2579427083333333,0.08534389105559076,0.5712412790945489,565895.339,61417.94884848485,0.20689655172413793,0.23333333333333334,,0.7868852459016393,0.4205323072300347
WF3,TEST,cross_asset_logistic,10423,64,64,0.671875,0.953125,0.34581320450885666,0.6385617954911433,0.03443951854269301,0.9265530991827154,565895.339,88625.5273030303,0.5862068965517241,0.8666666666666667,,1.0,0.040856414875229397
