window,model,track,symbol,source_venue,rows_seen,labeled_rows,action_macro_f1,target_exposure_mae,target_exposure_correlation,open_recall,close_recall,add_recall,reduce_recall,flip_recall
WF1,v2,STRICT_AUTONOMOUS,DOGEUSD,BITMEX,159,159,0.013157894736842105,1.0596046288662184,,0.0,0.0,0.0547945205479452,0.9466666666666667,
WF1,v2,STRICT_AUTONOMOUS,ETHUSD,BITMEX,46,46,0.2074074074074074,0.9921551521516795,,0.0,0.0,0.7857142857142857,0.38461538461538464,
WF1,v2,STRICT_AUTONOMOUS,XBTUSD,BITMEX,2257,2257,0.054085804490235555,0.8851994089220998,,0.0,0.0,0.07427536231884058,0.9425612052730696,0.0
WF1,v3,STRICT_AUTONOMOUS,DOGEUSD,BITMEX,159,159,0.013157894736842105,1.0596046288662184,,0.0,0.0,0.0547945205479452,0.9466666666666667,
WF1,v3,STRICT_AUTONOMOUS,ETHUSD,BITMEX,46,46,0.2,0.9921551521516795,,0.0,0.0,0.75,0.38461538461538464,
WF1,v3,STRICT_AUTONOMOUS,XBTUSD,BITMEX,2257,2257,0.05611313206085663,0.8851994089220998,,0.0,0.0,0.09148550724637682,0.9303201506591338,0.0
WF2,v2,STRICT_AUTONOMOUS,XBTUSD,BITMEX,1653,1653,0.06860873665318042,0.7801125914646214,,0.0,0.0,0.11719745222929936,0.9218158890290038,0.0
WF2,v3,STRICT_AUTONOMOUS,XBTUSD,BITMEX,1653,1653,0.06877904670052444,0.7801125914646214,,0.0,0.0,0.11464968152866242,0.9319041614123581,0.0
WF3,v2,STRICT_AUTONOMOUS,XBTUSD,BITMEX,263,263,0.0075898914518317505,1.1280190408539772,-0.01531127183183401,0.0,0.0,0.029411764705882353,1.0,0.0
WF3,v3,STRICT_AUTONOMOUS,XBTUSD,BITMEX,263,263,0.0075898914518317505,1.1280190408539772,-0.01531127183183401,0.0,0.0,0.029411764705882353,1.0,0.0
