window,model,track,split,start,end,rows_seen,labeled_rows,action_macro_f1,target_exposure_mae,target_exposure_correlation,open_recall,close_recall,add_recall,reduce_recall,flip_recall,state_source,teacher_state_fields_consumed
WF1,v2,CONDITIONAL_BEHAVIOR,VALIDATION,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2930,2930,0.19434381125592642,0.019359173873663902,0.9644887876941942,0.0,0.0,0.883495145631068,0.6156824782187803,0.0,,
WF1,v2,CONDITIONAL_BEHAVIOR,TEST,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2462,2462,0.2101323790894267,0.01903804912280079,0.9857186543882684,0.0,0.0,0.7203319502074689,0.7243478260869565,0.0,,
WF1,v2,STRICT_AUTONOMOUS,TEST,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2462,2462,0.0559852436994603,0.8984611449739581,,0.0,0.0,0.08962655601659751,0.9365217391304348,0.0,SIMULATED_ZERO_START,0
WF1,v3,CONDITIONAL_BEHAVIOR,VALIDATION,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2930,2930,0.19245273390574733,0.019959898717373165,0.9632968993143777,0.0,0.0,0.875866851595007,0.6147144240077445,0.0,,
WF1,v3,CONDITIONAL_BEHAVIOR,TEST,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2462,2462,0.2091575865129629,0.019335848147835063,0.9854551345506884,0.0,0.0,0.7219917012448133,0.7217391304347827,0.0,,
WF1,v3,STRICT_AUTONOMOUS,TEST,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2462,2462,0.05770566568130277,0.8984611449739581,,0.0,0.0,0.1045643153526971,0.9252173913043479,0.0,SIMULATED_ZERO_START,0
WF2,v2,CONDITIONAL_BEHAVIOR,VALIDATION,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2462,2462,0.21307932718338718,0.019287235931399936,0.9863562958353047,0.0,0.0,0.7609958506224066,0.7130434782608696,0.0,,
WF2,v2,CONDITIONAL_BEHAVIOR,TEST,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1653,1653,0.14878185328406915,0.028603927312298688,0.9823047441538488,0.0,0.0,0.3464968152866242,0.862547288776797,0.0,,
WF2,v2,STRICT_AUTONOMOUS,TEST,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1653,1653,0.06860873665318042,0.7801125914646214,,0.0,0.0,0.11719745222929936,0.9218158890290038,0.0,SIMULATED_ZERO_START,0
WF2,v3,CONDITIONAL_BEHAVIOR,VALIDATION,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2462,2462,0.21381452527204903,0.019563014340808527,0.9862936701389928,0.0,0.0,0.762655601659751,0.7156521739130435,0.0,,
WF2,v3,CONDITIONAL_BEHAVIOR,TEST,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1653,1653,0.14838098377335354,0.029665075743294536,0.9820110084825961,0.0,0.0,0.3554140127388535,0.8575031525851198,0.0,,
WF2,v3,STRICT_AUTONOMOUS,TEST,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1653,1653,0.06877904670052444,0.7801125914646214,,0.0,0.0,0.11464968152866242,0.9319041614123581,0.0,SIMULATED_ZERO_START,0
WF3,v2,CONDITIONAL_BEHAVIOR,VALIDATION,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1653,1653,0.09642641271104559,0.017553278964876736,0.9789491926681056,0.0,0.0,0.4063694267515924,0.8184110970996217,0.0,,
WF3,v2,CONDITIONAL_BEHAVIOR,TEST,2026-01-01T00:00:00+00:00,2026-07-18T21:17:31.514000+00:00,263,263,0.06302453102453102,0.016932140058250136,0.9578650262403834,0.0,0.0,0.3235294117647059,0.847457627118644,0.0,,
WF3,v2,STRICT_AUTONOMOUS,TEST,2026-01-01T00:00:00+00:00,2026-07-18T21:17:31.514000+00:00,263,263,0.0075898914518317505,1.1280190408539772,-0.01531127183183401,0.0,0.0,0.029411764705882353,1.0,0.0,SIMULATED_ZERO_START,0
WF3,v3,CONDITIONAL_BEHAVIOR,VALIDATION,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1653,1653,0.09803144712718685,0.017886807855438943,0.9785681806589298,0.0,0.0,0.42547770700636944,0.8146279949558638,0.0,,
WF3,v3,CONDITIONAL_BEHAVIOR,TEST,2026-01-01T00:00:00+00:00,2026-07-18T21:17:31.514000+00:00,263,263,0.06460268018833756,0.017016157568161834,0.9582043155593135,0.0,0.0,0.3382352941176471,0.847457627118644,0.0,,
WF3,v3,STRICT_AUTONOMOUS,TEST,2026-01-01T00:00:00+00:00,2026-07-18T21:17:31.514000+00:00,263,263,0.0075898914518317505,1.1280190408539772,-0.01531127183183401,0.0,0.0,0.029411764705882353,1.0,0.0,SIMULATED_ZERO_START,0
