source_venue,canonical_asset,event_rows,derived_OPEN_LONG,derived_ADD_LONG,derived_CLOSE_LONG,derived_REDUCE_LONG,same_timestamp_event_ties,temporal_rows,eligible_rows,label_ADD_LONG,source_actions_in_hour,label_NO_TRADE,label_CLOSE_LONG,label_OPEN_LONG,label_REDUCE_LONG,temporal_checks,derived_OPEN_SHORT,derived_ADD_SHORT,derived_CLOSE_SHORT,derived_REDUCE_SHORT,derived_FLIP_SHORT,label_OPEN_SHORT,label_REDUCE_SHORT,label_ADD_SHORT,label_CLOSE_SHORT,label_FLIP_LONG,label_FLIP_SHORT,derived_NO_TRADE,derived_FLIP_LONG,net_zero_label_hides_source_action
BITMEX,AAVEUSDT,84,5,51,4,24,2,2260,2260,33,82,2205,4,4,14,0,,,,,,,,,,,,,,
BITMEX,ADAM20,78,3,8,2,2,0,1263,1263,5,73,1213,2,1,2,0,7,29,9,17,1,7,14,11,6,1,1,,,
BITMEX,ADAUSD,17,1,7,,6,0,605,605,5,12,594,,,5,0,,1,1,,1,,,,,,1,,,
BITMEX,ADAUSDT,4,1,,1,2,0,21,21,,0,21,,,,0,,,,,,,,,,,,,,
BITMEX,ALTMEXUSD,14,2,10,2,,0,169,169,7,12,160,1,1,,0,,,,,,,,,,,,,,
BITMEX,AXSUSDT,83,,,,,0,1904,1859,,80,1856,,,,0,5,42,5,31,,4,20,20,4,,,,,
BITMEX,BCHH21,14,2,7,2,3,0,408,408,2,8,403,1,1,1,0,,,,,,,,,,,,,,
BITMEX,BCHUSD,43,4,29,4,4,1,3422,3422,8,38,3404,3,3,4,0,,,1,,1,,,,,,,,,
BITMEX,BMEXUSD,41,2,23,2,14,1,307,307,9,39,287,1,1,9,0,,,,,,,,,,,,,,
BITMEX,BNBUSD,6,1,4,1,,0,10,10,2,3,8,,,,0,,,,,,,,,,,,,,
BITMEX,BNBUSDT,25,6,11,6,2,0,3370,3370,7,21,3353,5,5,,0,,,,,,,,,,,,,,
BITMEX,BTC-PERP,20847,361,5556,368,4087,155,54466,54395,1407,20314,47189,258,239,1085,0,200,5341,195,4083,61,150,1708,2133,131,92,74,529,66,41
BITMEX,DOGEUSD,1052,43,545,42,368,2,27131,27113,307,1050,26523,40,41,192,0,4,24,5,18,2,4,7,9,5,1,2,,1,
BITMEX,DOGEUSDT,291,19,161,19,57,4,5383,5383,79,288,5222,17,17,26,0,7,20,7,1,,5,2,10,5,,,,,
BITMEX,DOTUSDT,90,7,42,6,33,1,3919,3919,16,84,3866,5,6,24,0,,,1,,1,,,,1,,1,,,
BITMEX,DOTUSDTH21,16,5,4,5,2,0,1680,1680,3,14,1667,4,4,2,0,,,,,,,,,,,,,,
BITMEX,EOSH21,4,2,,2,,0,171,171,,2,169,1,1,,0,,,,,,,,,,,,,,
BITMEX,EOSUSDTZ20,3,1,1,1,,0,47,47,1,1,46,,,,0,,,,,,,,,,,,,,
BITMEX,ETHH21,298,8,148,7,131,6,2130,2130,69,296,1993,7,6,53,0,1,1,2,,,1,,,1,,,,,1
BITMEX,ETHH22,144,4,85,4,51,1,1919,1919,35,141,1851,3,3,27,0,,,,,,,,,,,,,,
BITMEX,ETHH23,168,2,70,2,82,2,1355,1355,50,165,1250,1,1,46,0,1,4,,6,,,5,,,1,1,,1,
BITMEX,ETHH24,16,1,,,,0,1602,1602,,14,1590,,,,0,1,5,1,8,,,8,3,1,,,,,
BITMEX,ETHM20,11,2,4,2,3,0,678,678,3,8,672,1,1,1,0,,,,,,,,,,,,,,
BITMEX,ETHM21,27,4,8,4,8,0,1694,1694,6,25,1673,3,3,6,0,1,1,1,,,1,,1,1,,,,,
BITMEX,ETHM22,147,2,49,1,93,1,2173,2102,32,145,2105,1,1,32,0,,,,,1,,,,,1,1,,1,
BITMEX,ETHM23,152,1,65,1,46,10,2331,2321,34,144,2248,1,,23,0,1,24,,14,,1,8,16,,,,,,
BITMEX,ETHM24,86,1,70,,15,0,1990,1990,56,84,1924,,,10,0,,,,,,,,,,,,,,
BITMEX,ETHU20,32,8,10,9,5,0,1077,1077,3,30,1058,7,6,3,0,,,,,,,,,,,,,,1
BITMEX,ETHU21,54,5,23,5,21,3,933,933,13,49,896,4,4,16,0,,,,,,,,,,,,,,
