spec_id,symbol,tick_size,trade_count,observed_exact_count,recovered_count,unresolved_count,exact_ratio,recovered_ratio,cost_implied_on_tick_count,cost_implied_on_tick_ratio,observed_last_px_on_tick_count,observed_last_px_on_tick_ratio,unique_price_deltas,price_delta_frequency,delta_in_ticks_distribution,difference_raw_per_signed_qty_frequency,observed_last_px_decimal_places,cost_implied_price_decimal_places,canonical_exec_cost_exact_count,final_status
AAVEUSDT-QUANTO-XBT-2021,AAVEUSDT,,402,402,0,0,1.000000000000,0.000000000000,0,0.000000000000,0,0.000000000000,['0'],{'0': 402},{},{'0': 402},"{'1': 197, '2': 205}","{'0': 172, '1': 25, '2': 205}",402,PASS
ADAUSDT-QUANTO-XBT-2021,ADAUSDT,0.00001,152,152,0,0,1.000000000000,0.000000000000,152,1.000000000000,152,1.000000000000,['0'],{'0': 152},{'0': 152},{'0': 152},"{'1': 49, '2': 2, '4': 1, '5': 100}","{'1': 49, '2': 2, '4': 1, '5': 100}",152,PASS
BNBUSDT-QUANTO-XBT-2021,BNBUSDT,0.01,113,113,0,0,1.000000000000,0.000000000000,113,1.000000000000,113,1.000000000000,['0'],{'0': 113},{'0': 113},{'0': 113},"{'1': 77, '2': 36}","{'0': 58, '1': 19, '2': 36}",113,PASS
DOGEUSDT-QUANTO-XBT-2021,DOGEUSDT,0.00001,1735,1735,0,0,1.000000000000,0.000000000000,1735,1.000000000000,1735,1.000000000000,['0'],{'0': 1735},{'0': 1735},{'0': 1735},"{'1': 9, '2': 130, '3': 396, '4': 258, '5': 942}","{'1': 9, '2': 130, '3': 396, '4': 258, '5': 942}",1735,PASS
DOTUSDT-QUANTO-XBT-2021,DOTUSDT,0.0005,3359,1990,1369,0,0.592438225662,0.407561774338,3359,1.000000000000,3359,1.000000000000,"['-0.0005', '0', '0.0005']","{'-0.0005': 951, '0': 1990, '0.0005': 418}","{'-1': 951, '0': 1990, '1': 418}","{'-5': 951, '0': 1990, '5': 418}","{'1': 566, '2': 484, '3': 2309}","{'0': 159, '1': 407, '2': 466, '3': 958, '4': 1369}",3359,PASS
LINKUSDT-QUANTO-XBT-2020,LINKUSDT,0.0005,232,176,56,0,0.758620689655,0.241379310345,232,1.000000000000,232,1.000000000000,"['-0.0005', '0', '0.0005']","{'-0.0005': 33, '0': 176, '0.0005': 23}","{'-1': 33, '0': 176, '1': 23}","{'-5': 33, '0': 176, '5': 23}","{'1': 93, '2': 45, '3': 94}","{'0': 26, '1': 66, '2': 43, '3': 41, '4': 56}",232,PASS
LUNAUSD-QUANTO-XBT-2021,LUNAUSD,,358,358,0,0,1.000000000000,0.000000000000,0,0.000000000000,0,0.000000000000,['0'],{'0': 358},{},{'0': 358},"{'0': 69, '1': 47, '2': 48, '3': 194}","{'0': 69, '1': 47, '2': 48, '3': 194}",358,PASS
ORDIUSD-QUANTO-XBT-2023,ORDIUSD,,9,9,0,0,1.000000000000,0.000000000000,0,0.000000000000,0,0.000000000000,['0'],{'0': 9},{},{'0': 9},"{'0': 1, '1': 1, '2': 1, '3': 6}","{'0': 1, '1': 1, '2': 1, '3': 6}",9,PASS
TRXUSDT-QUANTO-XBT-2021,TRXUSDT,,15,15,0,0,1.000000000000,0.000000000000,0,0.000000000000,0,0.000000000000,['0'],{'0': 15},{},{'0': 15},"{'3': 8, '4': 2, '5': 5}","{'3': 8, '4': 2, '5': 5}",15,PASS
UNIUSDT-QUANTO-XBT-2021,UNIUSDT,,806,806,0,0,1.000000000000,0.000000000000,0,0.000000000000,0,0.000000000000,['0'],{'0': 806},{},{'0': 806},"{'1': 149, '2': 169, '3': 488}","{'0': 6, '1': 143, '2': 169, '3': 488}",806,PASS
XLMUSDT-QUANTO-XBT-2021,XLMUSDT,,53,53,0,0,1.000000000000,0.000000000000,0,0.000000000000,0,0.000000000000,['0'],{'0': 53},{},{'0': 53},"{'4': 4, '5': 49}","{'4': 4, '5': 49}",53,PASS
