event_time,source_row_number,execID,symbol,spec_id,side,signed_contract_qty,price,lastPx,avgPx,observed_price,observed_last_px,observed_avg_px,execCost,configured_multiplier_raw,configured_tick_size,cost_implied_price,canonical_execution_price,canonical_execCost_raw,canonical_exec_cost_exact,price_delta,abs_price_delta,delta_in_ticks,cost_implied_price_on_tick_grid,observed_last_px_on_tick_grid,lastPx_expected_execCost_raw,difference_raw,difference_raw_per_signed_qty,price_resolution_method,price_precision_status,reconciliation_status,reconciliation_reason,homeNotional,foreignNotional,candidate_foreign_over_home,orderID,trdMatchID,cumQty,lastQty
2021-02-02T07:30:06.999000Z,43171,686c230f-ac7d-9539-866b-a7766460faba,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,45,23.633,23.633,23.633,23.633,23.633,23.633,10634850,10000,0.0005,23.633,23.633,10634850.000,True,0.000,0.000,0,True,True,10634850.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,153.74103177314657,-3633.361803894773,-23.63300000000000072322917778,1dd7c4d4-a602-47f1-8ef9-b01f1b070103,,45,45
2021-02-02T07:30:09.229000Z,43172,5a9b7c5c-9c42-c0ef-6ba3-eb89bb65a148,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.633,23.633,23.633,23.633,23.633,23.633,4253940,10000,0.0005,23.633,23.633,4253940.000,True,0.000,0.000,0,True,True,4253940.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,61.49641270925863,-1453.3447215579092,-23.63299999999999995463150000,1dd7c4d4-a602-47f1-8ef9-b01f1b070103,,63,18
2021-02-02T07:30:09.353000Z,43173,67788edb-ceca-fc33-71d5-368e03d179d1,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,48,23.633,23.633,23.633,23.633,23.633,23.633,11343840,10000,0.0005,23.633,23.633,11343840.000,True,0.000,0.000,0,True,True,11343840.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,163.99043389135633,-3875.5859241544244,-23.63300000000000154344368750,1dd7c4d4-a602-47f1-8ef9-b01f1b070103,,111,48
2021-02-02T07:30:10.245000Z,43174,6d1e8adb-b456-e027-9b58-b8d6402af6a7,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,111,23.65,23.634,23.6335,23.65,23.634,23.6335,26233185,10000,0.0005,23.6335,23.6335,26233185.0000,True,-0.0005,0.0005,-1,True,True,26233740.000,-555.000,-5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,379.22787837376154,-8962.482063546293,-23.63349999999999906233159459,4c2232b9-19c3-40c3-84a1-806c56a1949f,,111,111
2021-02-02T07:30:12.578000Z,43175,b934a9df-f53a-660f-0b79-012fa1e519e0,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,111,23.637,23.634,23.6335,23.637,23.634,23.6335,26233185,10000,0.0005,23.6335,23.6335,26233185.0000,True,-0.0005,0.0005,-1,True,True,26233740.000,-555.000,-5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,379.22787837376154,-8962.482063546293,-23.63349999999999906233159459,1274e15a-8020-4f36-8b03-269115336091,,111,111
2021-02-02T07:30:23.113000Z,43176,cd2c2665-813e-5f5c-9eda-068c8a969102,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,1,23.625,23.625,23.625,23.625,23.625,23.625,236250,10000,0.0005,23.625,23.625,236250.000,True,0.000,0.000,0,True,True,236250.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,3.4164673727365904,-80.71404168090194,-23.62499999999999759986000000,64d56a80-0f7b-4943-bcd5-b01ae48eb77a,,1,1
2021-02-02T07:30:24.393000Z,43177,0e32b812-ef83-e9a1-6fa2-2083ec407523,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,14,23.625,23.625,23.625,23.625,23.625,23.625,3307500,10000,0.0005,23.625,23.625,3307500.000,True,0.000,0.000,0,True,True,3307500.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,47.830543218312265,-1129.9965835326273,-23.62500000000000082321875000,64d56a80-0f7b-4943-bcd5-b01ae48eb77a,,15,14
2021-02-02T07:30:25.856000Z,43178,2aa4bc40-dbd5-a199-86e3-8db79cf87eef,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,5,23.625,23.625,23.625,23.625,23.625,23.625,1181250,10000,0.0005,23.625,23.625,1181250.000,True,0.000,0.000,0,True,True,1181250.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,17.08233686368295,-403.57020840450974,-23.62500000000000270747500000,64d56a80-0f7b-4943-bcd5-b01ae48eb77a,,20,5
2021-02-02T07:30:26.514000Z,43179,93140cd2-94cf-3232-e65b-ff2ce3d4e800,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,10,23.625,23.625,23.625,23.625,23.625,23.625,2362500,10000,0.0005,23.625,23.625,2362500.000,True,0.000,0.000,0,True,True,2362500.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,34.1646737273659,-807.1404168090195,-23.62500000000000329287500000,64d56a80-0f7b-4943-bcd5-b01ae48eb77a,,30,10
2021-02-02T07:30:27.371000Z,43180,3284d621-b62d-5763-2f31-c5c13e45d681,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,19,23.625,23.625,23.625,23.625,23.625,23.625,4488750,10000,0.0005,23.625,23.625,4488750.000,True,0.000,0.000,0,True,True,4488750.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,64.91288008199521,-1533.566791937137,-23.62500000000000252261184211,64d56a80-0f7b-4943-bcd5-b01ae48eb77a,,49,19
