chain_status,symbol,group_count,trade_count,sample_orderID,sample_raw_cumQty_order,sample_recovered_execID_order
AMBIGUOUS,AAVEUSDT,1,2,7838eecd-37dc-4793-8cfb-ecfa4b175f30,"2669,2658","16d21d1e-a6e4-abc9-9311-1ff8bdee79a6,f54b3283-53f8-93fe-cc60-4c64f44bc772"
AMBIGUOUS,ADAUSD,2,4,3d6638c8-88d7-4cda-a146-4dd11fbaf664,"1890,2510","6c2e1402-8a4d-4b84-e003-ef734c8ba747,8b08d503-69e4-6d6d-2819-de333c0bc863"
AMBIGUOUS,ADAUSDT,1,2,9234444e-bc38-4f64-9dd3-ea270e53042b,"247,248","53185d22-c890-95d7-2ef5-7f4f235ab384,b76a049c-089f-d49e-cfff-f6bc5db67e3a"
AMBIGUOUS,AXSUSDT,18,56,606ec323-82ae-44d3-8f6c-6ada5bb24daa,"78,52","5502e8aa-d336-e3f4-94d4-83814ef5df58,5adf7b8c-c3ac-00fd-488c-3e14f3b526bc"
AMBIGUOUS,BNBUSDT,1,2,9492b8ec-5479-4b45-b002-408fd6d23e6b,"266,343","c612860f-c93f-0529-f8e9-cfab04ff0aff,3ce5272d-9029-1cbe-f69b-f4d24a0c5131"
AMBIGUOUS,DOGEUSD,40,90,aa1c8f71-0770-4306-90d6-d52ecf647115,"3115,3161","6a4a5d59-d477-9583-b07e-86fae9d72f6b,8e1fefce-61ee-9f7b-fa0c-f29899abfe20"
AMBIGUOUS,DOGEUSDT,9,19,2d5b58f5-ac36-4044-b695-174d4359dd8a,"2608,2633","d3d9e7c9-82e6-3acb-73d0-ae6c3fd502e6,019e57f7-69b2-a29f-35a2-f824905fc503"
AMBIGUOUS,DOTUSDT,5,10,4042856e-a156-439e-8d66-92d7b8e0476c,"92,94","0b5b1b5c-088a-d63f-816b-bbc23904b532,67bfac9e-0403-8e2f-d23d-c0ba74be93b3"
AMBIGUOUS,ETHM21,1,2,00bea35e-3b28-4791-9ce1-df1e0c41190f,"11,9","9239004d-0a1e-25db-f02e-9cdd40539a20,ff198c79-2302-7e1b-1444-3f6bd6be597c"
AMBIGUOUS,ETHM24,3,7,a7b470a2-63ae-4a6f-ba24-c982ff1c864d,"170000,200000","00000000-006d-1000-0000-0006857977ac,00000000-006d-1000-0000-0006857977b0"
AMBIGUOUS,ETHU20,2,13,377c2b03-1edd-c7fa-7d6f-68cdcb411e4d,"27,17","701702a9-ea29-e487-901b-da5b83081299,acd95ac8-6315-552b-b9fc-e206af95240b"
AMBIGUOUS,ETHU24,1,2,ac27fac0-e2fd-4420-a6d1-25611c6630ac,"294000,300000","00000000-006d-1000-0000-0008cb9e86e8,00000000-006d-1000-0000-0008cb9e86ec"
AMBIGUOUS,ETHUSD,22,47,75e235a4-ef9a-4ff3-ac3d-5a6b35ce0a9a,"666,587","78312ac5-786c-d8e4-16c3-d0cbaa186719,fce7eb06-ef74-1f49-6724-9e714eaa0da3"
AMBIGUOUS,LTCUSD,9,18,9083086b-a01d-4154-85b5-94e7d4477574,"634,1034","7d367f62-cc3b-5f44-b786-87b29c33f04f,eecaacb0-988c-6d92-3cb7-5ec25dd127eb"
AMBIGUOUS,LUNAUSD,1,2,6c4a67c5-9ff4-46ac-bad8-57843abbc214,"38,43","b025aa2b-71f1-5ab7-a963-8bec209d709c,44beff1c-bd4d-b062-522d-8b8afaaaae3a"
AMBIGUOUS,TRXM21,5,10,f833a013-8158-4988-a71d-6ddd66fd7306,"39028,38189","48ff255b-848c-de34-5d47-78c2a8e10a61,7f83a986-28f2-f571-9dc0-73d992617320"
AMBIGUOUS,TRXU21,1,2,7b3c198d-b837-4d2b-a261-9041456c6dad,"700900,708100","54a92001-71ea-98d7-d157-faedb4d727b5,40933f14-4189-d6e6-c1d2-311902c85067"
AMBIGUOUS,XBTUSD,651,1480,01f7fd7a-acf5-4dac-86ed-fd59cea17715,"51207,53333","82c399df-4ed9-22d0-1272-13fc4fcd3389,9a91f573-4bcf-cd67-6d71-7e24ff783c12"
AMBIGUOUS,XLMUSDT,1,2,280ca6e2-c580-479f-8cd1-9792ce0ee4ef,"85,88","ed7565ae-24ad-e2b0-a313-120f7ee42ab2,02db1079-a035-0506-27be-588cea247d13"
AMBIGUOUS,XRPUSD,6,12,b6daff4f-30e1-4075-9eff-e9aeb667965e,"1186,2824","dfa2914b-3af1-559d-db6a-7d82b188052e,0832a0bd-6414-e805-fec4-2057f90875bf"
