symbol,settlement_currency,funding_event_count,positive_execComm_count,negative_execComm_count,zero_execComm_count,missing_execComm_count,execComm_raw_sum,execComm_major_sum,first_event_time,last_event_time,normalization_failure_count
AAVEUSDT,XBT,164,164,0,0,0,9794978,0.09794978,2021-07-28T04:00:00Z,2021-11-02T04:00:00Z,0
ADAUSD,XBT,75,73,2,0,0,14107344,0.14107344,2021-10-26T12:00:00Z,2021-11-20T04:00:00Z,0
ADAUSDT,XBT,3,3,0,0,0,2528167,0.02528167,2021-08-09T20:00:00Z,2021-08-10T12:00:00Z,0
ALTMEXUSD,XBT,19,19,0,0,0,111797,0.00111797,2021-07-23T12:00:00Z,2021-07-30T20:00:00Z,0
AXSUSDT,XBT,88,11,77,0,0,5089608,0.05089608,2021-08-11T12:00:00Z,2021-10-05T12:00:00Z,0
BCHUSD,XBT,28,27,1,0,0,2579566,0.02579566,2020-09-13T04:00:00Z,2021-02-02T12:00:00Z,0
BMEXUSD,XBT,29,29,0,0,0,881486,0.00881486,2022-11-16T04:00:00Z,2022-11-28T20:00:00Z,0
BNBUSD,XBT,2,2,0,0,0,30551,0.00030551,2022-01-15T12:00:00Z,2022-01-15T20:00:00Z,0
BNBUSDT,XBT,72,66,6,0,0,1677055,0.01677055,2021-05-24T12:00:00Z,2021-10-11T12:00:00Z,0
DOGEUSD,XBT,2273,2261,12,0,0,59966235,0.59966235,2021-10-01T12:00:00Z,2024-11-04T20:00:00.104000Z,0
DOGEUSDT,XBT,333,308,25,0,0,65141629,0.65141629,2021-02-08T12:00:00Z,2021-09-20T12:00:00Z,0
DOTUSDT,XBT,147,144,3,0,0,134372207,1.34372207,2021-03-07T04:00:00Z,2021-08-17T04:00:00Z,0
ETHUSD,XBT,1574,1056,517,1,0,612843039,6.12843039,2020-06-02T04:00:00Z,2024-02-26T12:00:00Z,0
LINKUSDT,XBT,21,21,0,0,0,13162360,0.13162360,2021-02-02T12:00:00Z,2021-09-22T04:00:00Z,0
LTCUSD,XBT,878,870,8,0,0,296270713,2.96270713,2020-08-01T12:00:00Z,2023-12-06T12:00:00Z,0
LUNAUSD,XBT,70,45,25,0,0,2189273,0.02189273,2021-10-20T12:00:00Z,2022-01-22T04:00:00Z,0
ORDIUSD,XBT,397,397,0,0,0,11258,0.00011258,2023-06-09T04:00:00Z,2023-10-19T04:00:00Z,0
TRXUSDT,XBT,11,11,0,0,0,137522,0.00137522,2021-10-29T20:00:00Z,2021-11-02T04:00:00Z,0
UNIUSDT,XBT,83,83,0,0,0,30687657,0.30687657,2021-04-06T04:00:00Z,2021-07-13T12:00:00Z,0
XBTUSD,XBT,6006,2592,3411,3,0,183807344,1.83807344,2020-05-01T20:00:00Z,2026-07-19T12:00:00.330000Z,0
XLMUSDT,XBT,1,1,0,0,0,410048,0.00410048,2021-04-11T04:00:00Z,2021-04-11T04:00:00Z,0
XRPUSD,XBT,631,581,50,0,0,90246489,0.90246489,2020-07-26T04:00:00Z,2023-06-15T04:00:00Z,0
