symbol,derivative_execution_count,matched_count,missing_spec_count,overlapping_spec_count,compatibility_pass_count,compatibility_conflict_count,settlement_currency_conflict_count,payout_model_conflict_count,spec_version_count_used,spec_ids_used,evidence_confidences,first_event_time,last_event_time
AAVEUSDT,567,567,0,0,567,0,0,0,1,AAVEUSDT-QUANTO-XBT-2021,OFFICIAL_EXPLICIT,2021-07-27T21:27:02.794000Z,2021-11-02T11:59:59.999000Z
ADAM20,366,366,0,0,366,0,0,0,1,ADAM20-SNAPSHOT-4785ccd7a68b,OFFICIAL_EXPLICIT,2020-05-02T14:26:45.069000Z,2020-06-24T06:19:12.538000Z
ADAUSD,575,575,0,0,575,0,0,0,1,ADAUSD-SNAPSHOT-9cdf7cebd605,OFFICIAL_EXPLICIT,2021-10-26T05:00:42.074000Z,2021-11-20T11:47:48.728000Z
ADAUSDT,155,155,0,0,155,0,0,0,1,ADAUSDT-QUANTO-XBT-2021,OFFICIAL_EXPLICIT,2021-08-09T18:47:45.807000Z,2021-08-10T16:43:22.467000Z
ALTMEXUSD,70,70,0,0,70,0,0,0,1,ALTMEXUSD-SNAPSHOT-4cc6de306423,OFFICIAL_EXPLICIT,2021-07-23T04:23:53.756000Z,2021-07-30T21:00:09.605000Z
AXSUSDT,919,919,0,0,919,0,0,0,1,AXSUSDT-SNAPSHOT-1262013e1e5d,OFFICIAL_EXPLICIT,2021-08-11T07:20:56.717000Z,2021-10-29T16:16:08.976000Z
BCHH21,101,101,0,0,101,0,0,0,1,BCHH21-SNAPSHOT-31957a611fc6,OFFICIAL_EXPLICIT,2021-01-20T00:52:39.433000Z,2021-02-06T01:40:29.754000Z
BCHUSD,154,154,0,0,154,0,0,0,1,BCHUSD-SNAPSHOT-b5837caad543,OFFICIAL_EXPLICIT,2020-09-13T01:17:39.200000Z,2021-02-02T16:14:13.307000Z
BMEXUSD,143,143,0,0,143,0,0,0,1,BMEXUSD-SNAPSHOT-12a80c66cc1c,OFFICIAL_EXPLICIT,2022-11-16T01:22:48.452000Z,2022-11-28T21:05:09.635000Z
BNBUSD,28,28,0,0,28,0,0,0,1,BNBUSD-SNAPSHOT-8ac68797e172,OFFICIAL_EXPLICIT,2022-01-15T09:17:33.275000Z,2022-01-15T20:02:51.503000Z
