symbol,first_execution_time,last_execution_time,metadata_listing,metadata_expiry,metadata_settle,typ,instrument_class,first_execution_before_listing,metadata_temporal_status,requires_historical_spec,metadata_record_count,note
AAVEUSDT,2021-07-27T21:27:02.794000Z,2021-11-02T11:59:59.999000Z,2024-09-04T12:00:00.000Z,,,FFWCSX,DERIVATIVE,True,SYMBOL_REUSE_SUSPECTED,True,1,Current metadata is a snapshot; historical contract specification is required before M0-02B.
ADAM20,2020-05-02T14:26:45.069000Z,2020-06-24T06:19:12.538000Z,2020-03-13T08:00:00.000Z,2020-06-26T12:00:00.000Z,2020-06-26T12:00:00.000Z,FFCCSX,DERIVATIVE,False,TEMPORALLY_COVERED,False,1,
ADAUSD,2021-10-26T05:00:42.074000Z,2021-11-20T11:47:48.728000Z,2021-09-29T04:00:00.000Z,,,FFWCSX,DERIVATIVE,False,TEMPORALLY_COVERED,False,1,
ADAUSDT,2021-08-09T18:47:45.807000Z,2021-08-10T16:43:22.467000Z,2021-12-15T04:00:00.000Z,,,FFWCSX,DERIVATIVE,True,EXECUTION_BEFORE_CURRENT_LISTING,True,1,Current metadata is a snapshot; historical contract specification is required before M0-02B.
ALTMEXUSD,2021-07-23T04:23:53.756000Z,2021-07-30T21:00:09.605000Z,2021-07-20T04:00:00.000Z,2021-12-15T12:00:00.000Z,2021-12-15T12:00:00.000Z,FFWCSX,DERIVATIVE,False,TEMPORALLY_COVERED,False,1,
AXSUSDT,2021-08-11T07:20:56.717000Z,2021-10-29T16:16:08.976000Z,2021-08-10T04:00:00.000Z,2021-11-02T12:00:00.000Z,2021-11-02T12:00:00.000Z,FFWCSX,DERIVATIVE,False,TEMPORALLY_COVERED,False,1,
BCHH21,2021-01-20T00:52:39.433000Z,2021-02-06T01:40:29.754000Z,2020-12-11T08:00:00.000Z,2021-03-26T12:00:00.000Z,2021-03-26T12:00:00.000Z,FFCCSX,DERIVATIVE,False,TEMPORALLY_COVERED,False,1,
BCHUSD,2020-09-13T01:17:39.200000Z,2021-02-02T16:14:13.307000Z,2020-06-16T04:00:00.000Z,,,FFWCSX,DERIVATIVE,False,TEMPORALLY_COVERED,False,1,
BMEXUSD,2022-11-16T01:22:48.452000Z,2022-11-28T21:05:09.635000Z,2022-11-11T04:00:00.000Z,2025-03-20T12:00:00.000Z,2025-03-20T12:00:00.000Z,FFWCSX,DERIVATIVE,False,TEMPORALLY_COVERED,False,1,
BMEX_USDT,2022-11-12T04:36:03.138000Z,2023-08-31T18:03:55.552000Z,2022-11-11T00:00:00.000Z,,,IFXXXP,SPOT,False,TEMPORALLY_COVERED,False,1,
BNBUSD,2022-01-15T09:17:33.275000Z,2022-01-15T20:02:51.503000Z,2021-09-29T04:00:00.000Z,,,FFWCSX,DERIVATIVE,False,TEMPORALLY_COVERED,False,1,
