symbol,terms_resolution_status,resolved_lot_size,lastQty_multiple_status,execution_count,first_event_time,last_event_time
AAVEUSDT,SNAPSHOT_FALLBACK,1000,ODD_LOT,565,2021-07-27T21:27:02.794000Z,2021-11-02T11:59:59.999000Z
AAVEUSDT,SNAPSHOT_FALLBACK,1000,PASS,2,2021-08-08T11:52:35.562000Z,2021-09-22T16:44:16.861000Z
ADAM20,SNAPSHOT_FALLBACK,1,PASS,366,2020-05-02T14:26:45.069000Z,2020-06-24T06:19:12.538000Z
ADAUSD,SNAPSHOT_FALLBACK,1,PASS,575,2021-10-26T05:00:42.074000Z,2021-11-20T11:47:48.728000Z
ADAUSDT,SNAPSHOT_FALLBACK,1000,ODD_LOT,155,2021-08-09T18:47:45.807000Z,2021-08-10T16:43:22.467000Z
ALTMEXUSD,SNAPSHOT_FALLBACK,1,PASS,70,2021-07-23T04:23:53.756000Z,2021-07-30T21:00:09.605000Z
AXSUSDT,SNAPSHOT_FALLBACK,1,PASS,919,2021-08-11T07:20:56.717000Z,2021-10-29T16:16:08.976000Z
BCHH21,SNAPSHOT_FALLBACK,1,PASS,101,2021-01-20T00:52:39.433000Z,2021-02-06T01:40:29.754000Z
BCHUSD,SNAPSHOT_FALLBACK,1,PASS,154,2020-09-13T01:17:39.200000Z,2021-02-02T16:14:13.307000Z
BMEXUSD,SNAPSHOT_FALLBACK,1,PASS,143,2022-11-16T01:22:48.452000Z,2022-11-28T21:05:09.635000Z
BNBUSD,SNAPSHOT_FALLBACK,1,PASS,28,2022-01-15T09:17:33.275000Z,2022-01-15T20:02:51.503000Z
BNBUSDT,SNAPSHOT_FALLBACK,100,ODD_LOT,184,2021-05-24T05:47:01.011000Z,2021-10-11T16:36:13.469000Z
BNBUSDT,SNAPSHOT_FALLBACK,100,PASS,1,2021-10-11T00:03:21.172000Z,2021-10-11T00:03:21.172000Z
DOGEUSD,SNAPSHOT_FALLBACK,1,PASS,5924,2021-10-01T10:11:06.936000Z,2024-11-04T22:30:18.788000Z
DOGEUSDT,SNAPSHOT_FALLBACK,1000,ODD_LOT,2056,2021-02-08T04:42:56.268000Z,2021-09-20T12:37:28.066000Z
DOGEUSDT,SNAPSHOT_FALLBACK,1000,PASS,12,2021-02-27T14:34:13.356000Z,2021-09-20T12:37:28.036000Z
DOTUSDT,SNAPSHOT_FALLBACK,1000,ODD_LOT,3506,2021-03-06T23:27:08.836000Z,2021-08-17T07:04:54.304000Z
DOTUSDTH21,SNAPSHOT_FALLBACK,1,PASS,49,2021-01-13T22:27:28.708000Z,2021-03-24T23:41:56.187000Z
EOSH21,SNAPSHOT_FALLBACK,1,PASS,37,2021-01-31T11:31:18.385000Z,2021-02-07T15:38:05.259000Z
EOSUSDTZ20,SNAPSHOT_FALLBACK,1,PASS,7,2020-10-12T14:58:26.272000Z,2020-10-14T14:29:40.627000Z
ETHH21,SNAPSHOT_FALLBACK,1,PASS,1138,2020-12-26T15:54:11.011000Z,2021-03-26T11:59:59.999000Z
ETHH22,SNAPSHOT_FALLBACK,1000,PASS,477,2021-12-31T20:19:58.340000Z,2022-03-21T20:14:22.063000Z
ETHH23,SNAPSHOT_FALLBACK,1000,PASS,391,2023-02-01T14:53:14.510000Z,2023-03-31T11:59:59.999000Z
ETHH24,SNAPSHOT_FALLBACK,1000,PASS,35,2024-01-12T13:59:36.205000Z,2024-03-29T12:00:00Z
ETHM20,SNAPSHOT_FALLBACK,1,PASS,86,2020-05-29T00:07:56.507000Z,2020-06-26T07:16:24.011000Z
ETHM21,SNAPSHOT_FALLBACK,1,PASS,178,2021-03-26T23:49:14.441000Z,2021-06-05T14:15:59.838000Z
ETHM22,SNAPSHOT_FALLBACK,1000,PASS,234,2022-03-16T07:47:35.207000Z,2022-06-24T11:59:59.999000Z
ETHM23,SNAPSHOT_FALLBACK,1000,PASS,351,2023-03-23T15:38:09.675000Z,2023-06-30T11:59:59.999000Z
ETHM24,SNAPSHOT_FALLBACK,1000,PASS,282,2024-04-04T20:10:55.922000Z,2024-06-28T12:00:10.288000Z
ETHU20,SNAPSHOT_FALLBACK,1,PASS,221,2020-07-06T21:23:16.149000Z,2020-08-20T19:34:39.661000Z
ETHU21,SNAPSHOT_FALLBACK,1,PASS,476,2021-06-24T16:01:32.517000Z,2021-08-02T15:13:47.175000Z
ETHU22,SNAPSHOT_FALLBACK,1000,PASS,47,2022-06-24T19:44:49.420000Z,2022-09-17T08:34:43.983000Z
ETHU23,SNAPSHOT_FALLBACK,1000,PASS,180,2023-08-04T01:20:15.739000Z,2023-09-29T11:59:59.999000Z
ETHU24,SNAPSHOT_FALLBACK,1000,PASS,157,2024-06-20T07:23:01.167000Z,2024-09-27T12:00:15.299000Z
ETHUSD,SNAPSHOT_FALLBACK,1,PASS,19470,2020-06-01T22:24:28.491000Z,2024-02-26T19:44:55.050000Z
ETHUSDZ20,SNAPSHOT_FALLBACK,1,PASS,8,2020-10-12T13:39:21.644000Z,2020-10-12T16:32:24.038000Z
ETHZ20,SNAPSHOT_FALLBACK,1,PASS,1168,2020-10-28T11:17:12.414000Z,2020-12-25T11:59:59.999000Z
ETHZ21,SNAPSHOT_FALLBACK,1000000,PASS,870,2021-10-05T21:55:06.009000Z,2021-12-31T11:59:59.999000Z
ETHZ22,SNAPSHOT_FALLBACK,1000,PASS,182,2022-10-22T22:00:42.461000Z,2022-12-21T16:19:51.536000Z
ETHZ23,SNAPSHOT_FALLBACK,1000,PASS,271,2023-09-29T20:51:15.892000Z,2023-12-29T12:00:00Z
ETHZ24,SNAPSHOT_FALLBACK,1000,PASS,80,2024-10-14T15:26:28.211000Z,2024-12-27T12:00:10.289000Z
LINKUSDT,SNAPSHOT_FALLBACK,100,ODD_LOT,250,2021-02-02T07:30:06.999000Z,2021-09-22T09:14:08.137000Z
LINKUSDT,SNAPSHOT_FALLBACK,100,PASS,3,2021-02-03T14:47:15.892000Z,2021-08-11T08:23:00.160000Z
LINKUSDTZ20,SNAPSHOT_FALLBACK,1,PASS,16,2020-09-13T00:07:48.984000Z,2020-09-24T15:38:46.277000Z
LTCH21,SNAPSHOT_FALLBACK,1,PASS,1414,2020-12-25T18:30:08.190000Z,2021-03-21T04:28:55.762000Z
LTCM20,SNAPSHOT_FALLBACK,1,PASS,387,2020-05-01T23:45:58.220000Z,2020-06-08T22:11:45.084000Z
LTCM21,SNAPSHOT_FALLBACK,1,PASS,172,2021-03-29T02:41:02.762000Z,2021-04-24T05:09:28.694000Z
LTCU20,SNAPSHOT_FALLBACK,1,PASS,316,2020-06-26T12:29:11.610000Z,2020-09-04T06:45:08.462000Z
LTCU21,SNAPSHOT_FALLBACK,1,PASS,418,2021-08-10T06:48:12.576000Z,2021-09-24T11:59:59.999000Z
LTCUSD,SNAPSHOT_FALLBACK,1,PASS,7473,2020-08-01T10:10:23.992000Z,2023-12-06T16:47:47.204000Z
LTCZ20,SNAPSHOT_FALLBACK,1,PASS,816,2020-10-01T14:22:13.848000Z,2020-12-25T11:59:59.999000Z
LTCZ21,SNAPSHOT_FALLBACK,10000000,PASS,122,2021-12-06T22:19:25.621000Z,2021-12-13T19:20:17.272000Z
LUNAUSD,SNAPSHOT_FALLBACK,1,PASS,428,2021-10-20T09:55:35.965000Z,2022-01-22T07:59:21.398000Z
ORDIUSD,SNAPSHOT_FALLBACK,1,PASS,407,2023-06-09T01:29:30.612000Z,2023-10-19T12:00:00Z
