next_action,next_position_delta_bucket,row_count
,,1
ADD_LONG,LARGE,11
ADD_LONG,MEDIUM,1248
ADD_LONG,SMALL,4287
ADD_SHORT,LARGE,4
ADD_SHORT,MEDIUM,679
ADD_SHORT,SMALL,4653
CLOSE_LONG,LARGE,1
CLOSE_LONG,MEDIUM,126
CLOSE_LONG,SMALL,243
CLOSE_SHORT,LARGE,2
CLOSE_SHORT,MEDIUM,85
CLOSE_SHORT,SMALL,107
FLIP_LONG_TO_SHORT,LARGE,2
FLIP_LONG_TO_SHORT,MEDIUM,23
FLIP_LONG_TO_SHORT,SMALL,34
FLIP_SHORT_TO_LONG,LARGE,3
FLIP_SHORT_TO_LONG,MEDIUM,22
FLIP_SHORT_TO_LONG,SMALL,42
HOLD_LONG,ZERO,128
HOLD_SHORT,ZERO,284
NO_TRADE,ZERO,117
OPEN_LONG,LARGE,1
OPEN_LONG,MEDIUM,50
OPEN_LONG,SMALL,308
OPEN_SHORT,MEDIUM,32
OPEN_SHORT,SMALL,167
REDUCE_LONG,LARGE,2
REDUCE_LONG,MEDIUM,1314
REDUCE_LONG,SMALL,2780
REDUCE_SHORT,LARGE,1
REDUCE_SHORT,MEDIUM,668
REDUCE_SHORT,SMALL,3420
