symbol,ordType,side,execution_count_bucket,order_episode_count,filled_qty_sum,partial_or_multi_fill_count,ambiguous_order_count
AAVEUSDT,Limit,Buy,2_TO_5_FILLS,23,16313,23,0
AAVEUSDT,Limit,Buy,6_PLUS_FILLS,15,13751,15,0
AAVEUSDT,Limit,Buy,SINGLE_FILL,18,12192,0,0
AAVEUSDT,Limit,Sell,2_TO_5_FILLS,17,21203,17,0
AAVEUSDT,Limit,Sell,6_PLUS_FILLS,3,6771,3,1
AAVEUSDT,Limit,Sell,SINGLE_FILL,7,5732,0,0
AAVEUSDT,Market,Sell,2_TO_5_FILLS,1,1111,1,0
ADAM20,Limit,Buy,2_TO_5_FILLS,14,1868830,14,0
ADAM20,Limit,Buy,6_PLUS_FILLS,3,436515,3,0
ADAM20,Limit,Buy,SINGLE_FILL,12,814267,0,0
ADAM20,Limit,Sell,2_TO_5_FILLS,12,1207313,12,0
ADAM20,Limit,Sell,6_PLUS_FILLS,13,2677424,13,0
ADAM20,Limit,Sell,SINGLE_FILL,14,1210850,0,0
ADAM20,Market,Buy,2_TO_5_FILLS,3,300800,3,0
ADAM20,Market,Buy,6_PLUS_FILLS,2,523355,2,0
ADAM20,Market,Buy,SINGLE_FILL,2,220176,0,0
ADAM20,Market,Sell,2_TO_5_FILLS,1,55555,1,0
ADAM20,Market,Sell,SINGLE_FILL,1,50000,0,0
ADAM20,StopLimit,Buy,SINGLE_FILL,1,1037199,0,0
ADAUSD,Limit,Buy,2_TO_5_FILLS,1,5000,1,0
ADAUSD,Limit,Buy,6_PLUS_FILLS,7,22221,7,1
ADAUSD,Limit,Sell,6_PLUS_FILLS,8,42097,8,1
ADAUSD,Market,Buy,6_PLUS_FILLS,1,14876,1,0
ADAUSDT,Limit,Buy,6_PLUS_FILLS,1,544,1,1
ADAUSDT,Limit,Sell,6_PLUS_FILLS,3,544,3,0
ALTMEXUSD,Limit,Buy,2_TO_5_FILLS,6,5588,6,0
ALTMEXUSD,Limit,Buy,6_PLUS_FILLS,2,2126,2,0
ALTMEXUSD,Limit,Buy,SINGLE_FILL,4,4444,0,0
ALTMEXUSD,Limit,Sell,6_PLUS_FILLS,1,2126,1,0
ALTMEXUSD,Market,Sell,2_TO_5_FILLS,1,10032,1,0
AXSUSDT,Limit,Buy,2_TO_5_FILLS,11,5329,11,1
AXSUSDT,Limit,Buy,6_PLUS_FILLS,16,28723,16,3
AXSUSDT,Limit,Buy,SINGLE_FILL,7,2877,0,0
AXSUSDT,Limit,Sell,2_TO_5_FILLS,16,4973,16,0
AXSUSDT,Limit,Sell,6_PLUS_FILLS,23,31112,23,4
AXSUSDT,Limit,Sell,SINGLE_FILL,7,1754,0,0
AXSUSDT,Market,Buy,6_PLUS_FILLS,2,1910,2,0
AXSUSDT,Market,Sell,6_PLUS_FILLS,1,1000,1,0
BCHH21,Limit,Buy,2_TO_5_FILLS,4,113,4,0
BCHH21,Limit,Buy,6_PLUS_FILLS,4,371,4,0
BCHH21,Limit,Buy,SINGLE_FILL,1,21,0,0
BCHH21,Limit,Sell,2_TO_5_FILLS,2,155,2,0
BCHH21,Limit,Sell,6_PLUS_FILLS,2,300,2,0
BCHH21,Market,Sell,6_PLUS_FILLS,1,50,1,0
BCHUSD,Limit,Buy,2_TO_5_FILLS,10,11500,10,0
BCHUSD,Limit,Buy,6_PLUS_FILLS,3,6600,3,0
BCHUSD,Limit,Buy,SINGLE_FILL,19,38296,0,0
BCHUSD,Limit,Sell,2_TO_5_FILLS,6,14866,6,0
BCHUSD,Limit,Sell,6_PLUS_FILLS,1,9771,1,0
BCHUSD,Market,Buy,6_PLUS_FILLS,1,1100,1,0
BCHUSD,Market,Buy,SINGLE_FILL,1,370,0,0
BCHUSD,Market,Sell,6_PLUS_FILLS,2,33229,2,0
BMEXUSD,Limit,Buy,2_TO_5_FILLS,10,47600,10,0
BMEXUSD,Limit,Buy,SINGLE_FILL,15,51100,0,0
BMEXUSD,Limit,Sell,2_TO_5_FILLS,6,30048,6,0
BMEXUSD,Limit,Sell,6_PLUS_FILLS,4,32166,4,0
BMEXUSD,Limit,Sell,SINGLE_FILL,5,22832,0,0
BMEXUSD,Market,Sell,2_TO_5_FILLS,1,13654,1,0
BNBUSD,Limit,Buy,2_TO_5_FILLS,4,3100,4,0
BNBUSD,Limit,Buy,SINGLE_FILL,1,200,0,0
BNBUSD,Limit,Sell,6_PLUS_FILLS,1,3300,1,0
BNBUSDT,Limit,Buy,2_TO_5_FILLS,10,3076,10,0
BNBUSDT,Limit,Buy,6_PLUS_FILLS,6,3621,6,1
BNBUSDT,Limit,Buy,SINGLE_FILL,1,1111,0,0
BNBUSDT,Limit,Sell,2_TO_5_FILLS,3,6038,3,0
BNBUSDT,Market,Sell,2_TO_5_FILLS,3,1121,3,0
BNBUSDT,Market,Sell,SINGLE_FILL,2,649,0,0
DOGEUSD,Limit,Buy,2_TO_5_FILLS,270,383139,270,5
DOGEUSD,Limit,Buy,6_PLUS_FILLS,63,117298,63,8
DOGEUSD,Limit,Buy,SINGLE_FILL,266,252653,0,0
DOGEUSD,Limit,Sell,2_TO_5_FILLS,182,310549,182,4
DOGEUSD,Limit,Sell,6_PLUS_FILLS,66,153956,66,9
DOGEUSD,Limit,Sell,SINGLE_FILL,133,136001,0,0
DOGEUSD,Market,Buy,2_TO_5_FILLS,10,19761,10,0
DOGEUSD,Market,Buy,6_PLUS_FILLS,1,600,1,0
DOGEUSD,Market,Buy,SINGLE_FILL,2,644,0,0
DOGEUSD,Market,Sell,2_TO_5_FILLS,29,87572,29,0
DOGEUSD,Market,Sell,6_PLUS_FILLS,26,75450,26,0
DOGEUSD,Market,Sell,SINGLE_FILL,4,10567,0,0
DOGEUSDT,Limit,Buy,2_TO_5_FILLS,73,131529,73,0
DOGEUSDT,Limit,Buy,6_PLUS_FILLS,39,99631,39,3
DOGEUSDT,Limit,Buy,SINGLE_FILL,67,78532,0,0
DOGEUSDT,Limit,Sell,2_TO_5_FILLS,42,99967,42,0
DOGEUSDT,Limit,Sell,6_PLUS_FILLS,23,99622,23,5
DOGEUSDT,Limit,Sell,SINGLE_FILL,21,37096,0,0
DOGEUSDT,Market,Buy,2_TO_5_FILLS,4,766,4,0
DOGEUSDT,Market,Buy,6_PLUS_FILLS,5,9796,5,0
DOGEUSDT,Market,Sell,2_TO_5_FILLS,5,7247,5,0
DOGEUSDT,Market,Sell,6_PLUS_FILLS,10,67849,10,0
DOGEUSDT,Market,Sell,SINGLE_FILL,1,188,0,0
DOGEUSDT,StopLimit,Sell,SINGLE_FILL,1,8285,0,0
DOTUSDT,Limit,Buy,2_TO_5_FILLS,3,744,3,0
DOTUSDT,Limit,Buy,6_PLUS_FILLS,36,31837,36,2
DOTUSDT,Limit,Buy,SINGLE_FILL,11,1952,0,0
DOTUSDT,Limit,Sell,2_TO_5_FILLS,7,2290,7,0
DOTUSDT,Limit,Sell,6_PLUS_FILLS,29,30100,29,0
DOTUSDT,Limit,Sell,SINGLE_FILL,1,333,0,0
DOTUSDT,Market,Sell,2_TO_5_FILLS,1,455,1,0
DOTUSDT,Market,Sell,6_PLUS_FILLS,2,1355,2,0
DOTUSDTH21,Limit,Buy,2_TO_5_FILLS,3,625,3,0
DOTUSDTH21,Limit,Buy,6_PLUS_FILLS,1,100,1,0
DOTUSDTH21,Limit,Buy,SINGLE_FILL,5,242,0,0
DOTUSDTH21,Limit,Sell,2_TO_5_FILLS,1,100,1,0
DOTUSDTH21,Limit,Sell,6_PLUS_FILLS,1,414,1,0
DOTUSDTH21,Limit,Sell,SINGLE_FILL,1,111,0,0
DOTUSDTH21,Market,Sell,2_TO_5_FILLS,3,242,3,0
DOTUSDTH21,Market,Sell,SINGLE_FILL,1,100,0,0
EOSH21,Limit,Buy,6_PLUS_FILLS,2,11110,2,0
EOSH21,Limit,Sell,2_TO_5_FILLS,1,5555,1,0
EOSH21,Market,Sell,6_PLUS_FILLS,1,5555,1,0
EOSUSDTZ20,Limit,Buy,2_TO_5_FILLS,2,11110,2,0
EOSUSDTZ20,StopLimit,Sell,SINGLE_FILL,1,11110,0,0
ETHH21,Limit,Buy,2_TO_5_FILLS,91,2653,91,0
ETHH21,Limit,Buy,6_PLUS_FILLS,24,1333,24,0
ETHH21,Limit,Buy,SINGLE_FILL,22,491,0,0
ETHH21,Limit,Sell,2_TO_5_FILLS,76,2637,76,0
ETHH21,Limit,Sell,6_PLUS_FILLS,18,1207,18,0
ETHH21,Limit,Sell,SINGLE_FILL,34,915,0,0
ETHH21,Market,Buy,2_TO_5_FILLS,7,342,7,0
ETHH21,Market,Buy,6_PLUS_FILLS,4,220,4,0
ETHH21,Market,Buy,SINGLE_FILL,10,466,0,0
ETHH21,Market,Sell,2_TO_5_FILLS,5,217,5,0
ETHH21,Market,Sell,6_PLUS_FILLS,7,379,7,0
ETHH22,Limit,Buy,2_TO_5_FILLS,42,24238000,42,0
ETHH22,Limit,Buy,6_PLUS_FILLS,10,5700000,10,0
ETHH22,Limit,Buy,SINGLE_FILL,36,35604000,0,0
ETHH22,Limit,Sell,2_TO_5_FILLS,33,34659000,33,0
ETHH22,Limit,Sell,6_PLUS_FILLS,7,13548000,7,0
ETHH22,Limit,Sell,SINGLE_FILL,14,17781000,0,0
ETHH22,Market,Buy,6_PLUS_FILLS,1,946000,1,0
ETHH22,Market,Sell,SINGLE_FILL,1,500000,0,0
ETHH23,Limit,Buy,2_TO_5_FILLS,35,32846000,35,0
ETHH23,Limit,Buy,6_PLUS_FILLS,4,32842000,4,0
ETHH23,Limit,Buy,SINGLE_FILL,40,38541000,0,0
ETHH23,Limit,Sell,2_TO_5_FILLS,38,57760000,38,0
ETHH23,Limit,Sell,6_PLUS_FILLS,7,19530000,7,0
ETHH23,Limit,Sell,SINGLE_FILL,42,25530000,0,0
ETHH23,Market,Sell,2_TO_5_FILLS,1,300000,1,0
ETHH23,Market,Sell,SINGLE_FILL,1,80000,0,0
ETHH24,Limit,Buy,2_TO_5_FILLS,2,300000,2,0
ETHH24,Limit,Buy,SINGLE_FILL,7,1100000,0,0
ETHH24,Limit,Sell,6_PLUS_FILLS,2,800000,2,0
ETHH24,Limit,Sell,SINGLE_FILL,4,700000,0,0
ETHH24,Market,Buy,SINGLE_FILL,1,300000,0,0
ETHM20,Limit,Buy,2_TO_5_FILLS,1,27,1,0
ETHM20,Limit,Buy,6_PLUS_FILLS,3,575,3,0
ETHM20,Limit,Buy,SINGLE_FILL,2,310,0,0
ETHM20,Limit,Sell,6_PLUS_FILLS,4,905,4,0
ETHM20,Market,Sell,2_TO_5_FILLS,1,7,1,0
ETHM21,Limit,Buy,2_TO_5_FILLS,6,138,6,0
ETHM21,Limit,Buy,6_PLUS_FILLS,5,134,5,0
ETHM21,Limit,Buy,SINGLE_FILL,1,33,0,0
ETHM21,Limit,Sell,2_TO_5_FILLS,8,185,8,1
ETHM21,Limit,Sell,6_PLUS_FILLS,3,99,3,0
ETHM21,Limit,Sell,SINGLE_FILL,1,5,0,0
ETHM21,Market,Buy,2_TO_5_FILLS,1,14,1,0
ETHM21,Market,Sell,2_TO_5_FILLS,1,25,1,0
ETHM21,Market,Sell,SINGLE_FILL,1,5,0,0
ETHM22,Limit,Buy,2_TO_5_FILLS,24,9400000,24,0
ETHM22,Limit,Buy,SINGLE_FILL,28,2646000,0,0
ETHM22,Limit,Sell,2_TO_5_FILLS,32,3500000,32,0
ETHM22,Limit,Sell,SINGLE_FILL,63,6460000,0,0
ETHM23,Limit,Buy,2_TO_5_FILLS,27,11050000,27,0
ETHM23,Limit,Buy,6_PLUS_FILLS,6,6600000,6,0
ETHM23,Limit,Buy,SINGLE_FILL,47,19553000,0,0
ETHM23,Limit,Sell,2_TO_5_FILLS,25,16500000,25,0
ETHM23,Limit,Sell,6_PLUS_FILLS,4,4819000,4,0
ETHM23,Limit,Sell,SINGLE_FILL,41,16300000,0,0
ETHM23,Market,Sell,2_TO_5_FILLS,1,31000,1,0
ETHM23,Market,Sell,SINGLE_FILL,1,300000,0,0
ETHM24,Limit,Buy,2_TO_5_FILLS,34,9800000,34,1
ETHM24,Limit,Buy,6_PLUS_FILLS,2,400000,2,1
ETHM24,Limit,Buy,SINGLE_FILL,29,5114000,0,0
ETHM24,Limit,Sell,2_TO_5_FILLS,11,2885000,11,0
ETHM24,Limit,Sell,6_PLUS_FILLS,1,501000,1,0
ETHM24,Limit,Sell,SINGLE_FILL,3,632000,0,0
ETHM24,Market,Buy,2_TO_5_FILLS,3,300000,3,0
ETHM24,Market,Buy,6_PLUS_FILLS,1,500000,1,0
ETHM24,Market,Buy,SINGLE_FILL,2,200000,0,0
ETHU20,Limit,Buy,2_TO_5_FILLS,8,509,8,1
ETHU20,Limit,Buy,6_PLUS_FILLS,7,930,7,0
ETHU20,Limit,Buy,SINGLE_FILL,3,121,0,0
ETHU20,Limit,Sell,2_TO_5_FILLS,3,292,3,0
ETHU20,Limit,Sell,6_PLUS_FILLS,7,730,7,1
ETHU20,Market,Sell,2_TO_5_FILLS,3,410,3,0
ETHU20,Market,Sell,6_PLUS_FILLS,1,128,1,0
ETHU21,Limit,Buy,2_TO_5_FILLS,4,44,4,0
ETHU21,Limit,Buy,6_PLUS_FILLS,17,465,17,0
ETHU21,Limit,Buy,SINGLE_FILL,6,181,0,0
ETHU21,Limit,Sell,2_TO_5_FILLS,13,310,13,0
ETHU21,Limit,Sell,6_PLUS_FILLS,7,285,7,0
ETHU21,Limit,Sell,SINGLE_FILL,5,103,0,0
ETHU21,Market,Buy,2_TO_5_FILLS,1,11,1,0
ETHU21,Market,Sell,SINGLE_FILL,1,3,0,0
ETHU22,Limit,Buy,2_TO_5_FILLS,6,600000,6,0
ETHU22,Limit,Buy,SINGLE_FILL,3,250000,0,0
ETHU22,Limit,Sell,2_TO_5_FILLS,2,50000,2,0
ETHU22,Limit,Sell,6_PLUS_FILLS,1,600000,1,0
ETHU22,Limit,Sell,SINGLE_FILL,11,240000,0,0
ETHU22,Market,Buy,2_TO_5_FILLS,1,140000,1,0
ETHU22,Market,Sell,6_PLUS_FILLS,1,100000,1,0
ETHU23,Limit,Buy,2_TO_5_FILLS,11,5200000,11,0
ETHU23,Limit,Buy,6_PLUS_FILLS,2,600000,2,0
ETHU23,Limit,Buy,SINGLE_FILL,7,1700000,0,0
ETHU23,Limit,Sell,2_TO_5_FILLS,22,6621000,22,0
ETHU23,Limit,Sell,6_PLUS_FILLS,5,1500000,5,0
ETHU23,Limit,Sell,SINGLE_FILL,18,5803000,0,0
ETHU24,Limit,Buy,2_TO_5_FILLS,16,8600000,16,0
ETHU24,Limit,Buy,6_PLUS_FILLS,3,1200000,3,1
ETHU24,Limit,Buy,SINGLE_FILL,10,4200000,0,0
ETHU24,Limit,Sell,2_TO_5_FILLS,8,2200000,8,0
ETHU24,Limit,Sell,6_PLUS_FILLS,4,1600000,4,0
ETHU24,Limit,Sell,SINGLE_FILL,2,400000,0,0
ETHUSD,Limit,Buy,2_TO_5_FILLS,672,803533,672,3
ETHUSD,Limit,Buy,6_PLUS_FILLS,316,610310,316,7
ETHUSD,Limit,Buy,SINGLE_FILL,709,789643,0,0
ETHUSD,Limit,Sell,2_TO_5_FILLS,493,478236,493,3
ETHUSD,Limit,Sell,6_PLUS_FILLS,340,506232,340,7
ETHUSD,Limit,Sell,SINGLE_FILL,291,293099,0,0
ETHUSD,Market,Buy,2_TO_5_FILLS,100,307643,100,0
ETHUSD,Market,Buy,6_PLUS_FILLS,133,645488,133,0
ETHUSD,Market,Buy,SINGLE_FILL,48,155459,0,0
ETHUSD,Market,Sell,2_TO_5_FILLS,156,548756,156,0
ETHUSD,Market,Sell,6_PLUS_FILLS,225,1267828,225,0
ETHUSD,Market,Sell,SINGLE_FILL,52,128159,0,0
ETHUSD,StopLimit,Sell,SINGLE_FILL,1,89766,0,0
ETHUSDZ20,Limit,Buy,2_TO_5_FILLS,1,1111,1,0
ETHUSDZ20,Market,Sell,2_TO_5_FILLS,1,1111,1,0
ETHZ20,Limit,Buy,2_TO_5_FILLS,73,4992,73,0
ETHZ20,Limit,Buy,6_PLUS_FILLS,29,2287,29,0
ETHZ20,Limit,Buy,SINGLE_FILL,28,1382,0,0
ETHZ20,Limit,Sell,2_TO_5_FILLS,36,3669,36,0
ETHZ20,Limit,Sell,6_PLUS_FILLS,17,2313,17,0
ETHZ20,Limit,Sell,SINGLE_FILL,11,896,0,0
ETHZ20,Market,Buy,2_TO_5_FILLS,1,66,1,0
ETHZ20,Market,Buy,6_PLUS_FILLS,2,99,2,0
ETHZ20,Market,Buy,SINGLE_FILL,2,133,0,0
ETHZ20,Market,Sell,2_TO_5_FILLS,3,352,3,0
ETHZ20,Market,Sell,6_PLUS_FILLS,3,452,3,0
ETHZ20,StopLimit,Sell,SINGLE_FILL,2,376,0,0
ETHZ21,Limit,Buy,2_TO_5_FILLS,90,69700000000,90,0
ETHZ21,Limit,Buy,6_PLUS_FILLS,15,26900000000,15,0
