symbol,payout_model,settlement_currency,position_qty,current_cost_exact_raw,current_cost_api_raw,average_entry_basis,average_entry_price,position_cycle_id,cycle_count
AAVEUSDT,QUANTO,XBT,0,0,0,,,,5
ADAM20,LINEAR,XBT,0,0,0,,,,12
ADAUSD,QUANTO,XBT,0,0,0,,,,2
ADAUSDT,QUANTO,XBT,0,0,0,,,,1
ALTMEXUSD,QUANTO,XBT,0,0,0,,,,2
AXSUSDT,QUANTO,XBT,0,0,0,,,,5
BCHH21,LINEAR,XBT,0,0,0,,,,2
BCHUSD,QUANTO,XBT,0,0,0,,,,6
BMEXUSD,QUANTO,XBT,0,0,0,,,,2
BNBUSD,QUANTO,XBT,0,0,0,,,,1
BNBUSDT,QUANTO,XBT,0,0,0,,,,6
DOGEUSD,QUANTO,XBT,0,0,0,,,,50
DOGEUSDT,QUANTO,XBT,0,0,0,,,,26
DOTUSDT,QUANTO,XBT,0,0,0,,,,8
DOTUSDTH21,QUANTO,XBT,0,0,0,,,,5
EOSH21,LINEAR,XBT,0,0,0,,,,2
EOSUSDTZ20,QUANTO,XBT,0,0,0,,,,1
ETHH21,LINEAR,XBT,0,0,0,,,,10
ETHH22,LINEAR,XBT,0,0,0,,,,4
ETHH23,LINEAR,XBT,0,0,0,,,,4
ETHH24,LINEAR,XBT,0,0,0,,,,2
ETHM20,LINEAR,XBT,0,0,0,,,,2
ETHM21,LINEAR,XBT,0,0,0,,,,5
ETHM22,LINEAR,XBT,0,0,0,,,,4
ETHM23,LINEAR,XBT,0,0,0,,,,2
ETHM24,LINEAR,XBT,0,0,0,,,,1
ETHU20,LINEAR,XBT,0,0,0,,,,9
ETHU21,LINEAR,XBT,0,0,0,,,,5
ETHU22,LINEAR,XBT,0,0,0,,,,2
ETHU23,LINEAR,XBT,0,0,0,,,,1
ETHU24,LINEAR,XBT,0,0,0,,,,1
ETHUSD,QUANTO,XBT,0,0,0,,,,232
ETHUSDZ20,QUANTO,XBT,0,0,0,,,,1
ETHZ20,LINEAR,XBT,0,0,0,,,,9
ETHZ21,LINEAR,XBT,0,0,0,,,,3
ETHZ22,LINEAR,XBT,0,0,0,,,,3
ETHZ23,LINEAR,XBT,0,0,0,,,,5
ETHZ24,LINEAR,XBT,0,0,0,,,,1
LINKUSDT,QUANTO,XBT,0,0,0,,,,5
LINKUSDTZ20,QUANTO,XBT,0,0,0,,,,2
LTCH21,LINEAR,XBT,0,0,0,,,,7
LTCM20,LINEAR,XBT,0,0,0,,,,4
LTCM21,LINEAR,XBT,0,0,0,,,,2
LTCU20,LINEAR,XBT,0,0,0,,,,8
LTCU21,LINEAR,XBT,0,0,0,,,,4
LTCUSD,QUANTO,XBT,0,0,0,,,,63
LTCZ20,LINEAR,XBT,0,0,0,,,,9
LTCZ21,LINEAR,XBT,0,0,0,,,,1
LUNAUSD,QUANTO,XBT,0,0,0,,,,7
ORDIUSD,QUANTO,XBT,0,0,0,,,,1
TRXH21,LINEAR,XBT,0,0,0,,,,10
TRXM20,LINEAR,XBT,0,0,0,,,,4
TRXM21,LINEAR,XBT,0,0,0,,,,5
TRXU20,LINEAR,XBT,0,0,0,,,,19
TRXU21,LINEAR,XBT,0,0,0,,,,3
TRXUSDT,QUANTO,XBT,0,0,0,,,,1
TRXZ20,LINEAR,XBT,0,0,0,,,,7
TRXZ21,LINEAR,XBT,0,0,0,,,,1
UNIUSDT,QUANTO,XBT,0,0,0,,,,4
XBTM21,INVERSE,XBT,0,0,0,,,,1
XBTUSD,INVERSE,XBT,-998000,1386445812.7863764085864748656315535619943759757407922382333371393357642191263815492891192135994881946538192457674691933440350214498761762145248740616644041192378214956710850017208573715398642045291351,1386445848,0.0013892242613089943973812373403121779178300360478364651685704780955268178548360536566023238613221324595729651761197086105651653521541845453051351443503651343880138491940592034085379332380158959965221797,71982.618490822464968098336702587628720357600841946133345892107878589169521669517386375861191593009783898288650769001163067364823586717576221993137280942905343504535017594693555225292123462257237167290,XBTUSD-C0688,688
XLMUSDT,QUANTO,XBT,0,0,0,,,,1
XRPUSD,QUANTO,XBT,0,0,0,,,,81
XTZUSDTZ20,QUANTO,XBT,0,0,0,,,,1
YFIUSDTH21,QUANTO,XBT,0,0,0,,,,8
YFIUSDTZ20,QUANTO,XBT,0,0,0,,,,12
