experiment,strategy,window,status,note,total_return,max_drawdown,sharpe,fees,funding,slippage
base,distilled_rules,WF3_TEST,PASS,Reference configuration.,-0.019329764137878902,-0.09715254087196101,-0.4511806621734557,0.006300110113592465,0.0007363990468143145,0.0
fee_plus_50pct,distilled_rules,WF3_TEST,PASS,Historical blended fee rate stress.,-0.022444153384864607,-0.09847070932476465,-0.5307314385184854,0.009450165170388714,0.0007357509246252356,0.0
fee_x2,distilled_rules,WF3_TEST,PASS,Historical blended fee rate stress.,-0.025558542631872738,-0.09979089502326677,-0.6105323189669677,0.01260022022718493,0.0007351028024361408,0.0
slippage_1_tick,distilled_rules,WF3_TEST,PASS,Tick size 0.1 from frozen XBTUSD snapshot; historical tick caveat retained.,-0.019346371720404876,-0.09715972104940285,-0.45160417877680625,0.006300110113592465,0.0007363957435291158,1.6798584716796815e-05
slippage_2_tick,distilled_rules,WF3_TEST,PASS,Tick size 0.1 from frozen XBTUSD snapshot; historical tick caveat retained.,-0.01936297930294395,-0.09716690127597638,-0.4520277025505722,0.006300110113592465,0.0007363924402439079,3.359716943359363e-05
slippage_5_tick,distilled_rules,WF3_TEST,PASS,Tick size 0.1 from frozen XBTUSD snapshot; historical tick caveat retained.,-0.0194128020505423,-0.09718844225047807,-0.453298316893028,0.006300110113592465,0.0007363825303882887,8.399292358398409e-05
signal_delay_one_bar,distilled_rules,WF3_TEST,PASS,One closed 5m bar delay.,-0.034880175032158234,-0.1032942446793953,-0.8515085005088868,0.006300110113592465,0.0007309905314056102,0.0
parameters_minus_10pct,distilled_rules,WF3_TEST,PASS,Maximum exposure perturbation.,-0.014857866147777843,-0.09005044057269829,-0.35692180532839873,0.005895102373624402,0.0007244646225562948,0.0
parameters_plus_10pct,distilled_rules,WF3_TEST,PASS,Maximum exposure perturbation.,-0.019329764137878902,-0.09715254087196101,-0.4511806621734557,0.006300110113592465,0.0007363990468143145,0.0
parameters_minus_20pct,distilled_rules,WF3_TEST,PASS,Maximum exposure perturbation.,-0.010100938526325876,-0.08053352051514384,-0.25193883858878374,0.005363526500569162,0.0006972805722527168,0.0
parameters_plus_20pct,distilled_rules,WF3_TEST,PASS,Maximum exposure perturbation.,-0.019329764137878902,-0.09715254087196101,-0.4511806621734557,0.006300110113592465,0.0007363990468143145,0.0
long_only,distilled_rules,WF3_TEST,PASS,Exposure-side restriction.,-0.024046647853943504,-0.04632663321225872,-0.9632621087749011,0.0028286254854912904,0.00023686932891570396,0.0
short_only,distilled_rules,WF3_TEST,PASS,Exposure-side restriction.,0.0048505180673315,-0.07714868748950132,0.18261812281542722,0.003471484628101182,0.0005171606687183509,0.0
max_exposure_0.1,distilled_rules,WF3_TEST,PASS,Multiple maximum exposure limit.,-0.0072936548536434165,-0.04514116458800577,-0.3061072479893456,0.0023736796483157267,0.0004568122728279214,0.0
max_exposure_0.25,distilled_rules,WF3_TEST,PASS,Multiple maximum exposure limit.,-0.019329764137878902,-0.09715254087196101,-0.4511806621734557,0.006300110113592465,0.0007363990468143145,0.0
max_exposure_0.5,distilled_rules,WF3_TEST,PASS,Multiple maximum exposure limit.,-0.019329764137878902,-0.09715254087196101,-0.4511806621734557,0.006300110113592465,0.0007363990468143145,0.0
regime_bull,distilled_rules_bull,WF3_TEST,PASS,Subset classification uses only the prior 72 closed bars.,-0.03596859782211903,-0.08151978468466192,-9.424978269328435,0.006300110113592465,0.0007363990468143145,0.0
regime_bear,distilled_rules_bear,WF3_TEST,PASS,Subset classification uses only the prior 72 closed bars.,0.06689284047521116,-0.0955110408173041,12.759785411625133,0.006300110113592465,0.0007363990468143145,0.0
regime_sideways,distilled_rules_sideways,WF3_TEST,PASS,Subset classification uses only the prior 72 closed bars.,-0.04652126240380883,-0.05160983281705034,-1.6721094430495085,0.006300110113592465,0.0007363990468143145,0.0
remove_top_5_cycles,distilled_rules_without_top_5_cycles,WF3_TEST,PASS,Descriptive interval removal using frozen teacher cycle timestamps; not a live feature.,-0.019329764137910432,-0.09715254087197989,-0.4511806621734557,0.006300110113592465,0.0007363990468143145,0.0
remove_top_10_cycles,distilled_rules_without_top_10_cycles,WF3_TEST,PASS,Descriptive interval removal using frozen teacher cycle timestamps; not a live feature.,-0.019329764137910432,-0.09715254087197989,-0.4511806621734557,0.006300110113592465,0.0007363990468143145,0.0
remove_top_20_cycles,distilled_rules_without_top_20_cycles,WF3_TEST,PASS,Descriptive interval removal using frozen teacher cycle timestamps; not a live feature.,-0.006993796787554518,-0.06077489985811424,-0.7390956088827523,0.006300110113592465,0.0007363990468143145,0.0
