source_row_number,event_time,timestamp,transactTime,execID,execType,symbol,side,instrument_typ,instrument_class,instrument_metadata_listing,instrument_metadata_expiry,instrument_metadata_settle,instrument_metadata_status,orderQty,lastQty,cumQty,leavesQty,price,lastPx,avgPx,currency,settlCurrency,execCost,execComm,realisedPnl,homeNotional,foreignNotional,orderID,order_join_status,position_before,signed_contract_qty,position_after,action,settled_position_effect,settlement_status,settlement_reason,settlement_resolution_method,evidence_status,evidence_source_url,normalization_status,normalization_reason
21836,2020-12-25T11:59:59.999000Z,2020-12-25T12:00:10.031Z,2020-12-25T11:59:59.999Z,00cde560-bb12-e103-be34-f25d857472aa,Settlement,YFIUSDTZ20,Sell,FFCCSX,DERIVATIVE,2020-10-30T04:00:00.000Z,2020-12-25T12:00:00.000Z,2020-12-25T12:00:00.000Z,Settled,355,355,355,0,24289.8,24289.8,24289.8,USDT,XBt,-86228790,0,,-0.8718074656188605,21176.028978388997,,NOT_APPLICABLE,355,-355,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
21837,2020-12-25T11:59:59.999000Z,2020-12-25T12:00:10.031Z,2020-12-25T11:59:59.999Z,7dd33a7a-e74e-4c17-460c-1f938c0fdbd4,Settlement,LTCZ20,Sell,FFCCSX,DERIVATIVE,2020-09-11T08:00:00.000Z,2020-12-25T12:00:00.000Z,2020-12-25T12:00:00.000Z,Settled,372,372,372,0,0.004958,0.004958,0.004958,XBT,XBt,-184437600,0,,-372,1.844376,,NOT_APPLICABLE,372,-372,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
21838,2020-12-25T11:59:59.999000Z,2020-12-25T12:00:10.031Z,2020-12-25T11:59:59.999Z,ef4c248c-5878-5c1c-a1c0-cab05d59d932,Settlement,ETHZ20,Sell,FFCCSX,DERIVATIVE,2020-09-11T08:00:00.000Z,2020-12-25T12:00:00.000Z,2020-12-25T12:00:00.000Z,Settled,901,901,901,0,0.02571,0.02571,0.02571,XBT,XBt,-2316471000,0,,-901,23.16471,,NOT_APPLICABLE,901,-901,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
59942,2021-03-26T11:59:59.999000Z,2021-03-26T12:00:10.043Z,2021-03-26T11:59:59.999Z,b6312ffe-df7c-41c7-570d-0bd97c17e9a5,Settlement,ETHH21,Sell,FFCCSX,DERIVATIVE,2020-12-11T08:00:00.000Z,2021-03-26T12:00:00.000Z,2021-03-26T12:00:00.000Z,Settled,150,150,150,0,0.03065,0.03065,0.03065,XBT,XBt,-459750000,0,,-150,4.5975,,NOT_APPLICABLE,150,-150,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
92832,2021-09-24T11:59:59.999000Z,2021-09-24T12:00:10.064Z,2021-09-24T11:59:59.999Z,7a34520d-79f3-561a-393a-ca34af0ab555,Settlement,TRXU21,Sell,FFCCSX,DERIVATIVE,2021-06-16T08:00:00.000Z,2021-09-24T12:00:00.000Z,2021-09-24T12:00:00.000Z,Settled,1100000,1100000,1100000,0,2.187e-06,2.187e-06,2.187e-06,XBT,XBt,-240570000,0,,-1100000,2.4057,,NOT_APPLICABLE,1100000,-1100000,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
92833,2021-09-24T11:59:59.999000Z,2021-09-24T12:00:10.064Z,2021-09-24T11:59:59.999Z,c30a506f-3bce-dade-6497-3446e4df0a89,Settlement,LTCU21,Sell,FFCCSX,DERIVATIVE,2021-06-16T08:00:00.000Z,2021-09-24T12:00:00.000Z,2021-09-24T12:00:00.000Z,Settled,1000,1000,1000,0,0.003536,0.003536,0.003536,XBT,XBt,-353600000,0,,-1000,3.536,,NOT_APPLICABLE,1000,-1000,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
96954,2021-11-02T11:59:59.999000Z,2021-11-02T12:00:10.072Z,2021-11-02T11:59:59.999Z,0d881570-ba4c-bc12-7efb-56ae7220d7eb,Settlement,AAVEUSDT,Sell,FFWCSX,DERIVATIVE,2024-09-04T12:00:00.000Z,,,Open,7439,7439,7439,0,325.89,325.89,325.89,USDT,XBt,-242429571,0,,-468.156073001888,152567.38263058529,,NOT_APPLICABLE,7439,-7439,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,OFFICIAL_EARLY_SETTLEMENT_AND_POSITION_CLOSE_INVARIANT,OFFICIAL_EARLY_SETTLEMENT,https://www.bitmex.com/blog/axs-eos-link-sol-aave-matic-srm-sushi-trx-uni-vet-and-xlm-quanto-perpetuals-new-listing-and-early-settlement-of-contracts-due-to-naming-conventions,OK,Settlement validated against position_before/position_after; no PnL is calculated.
96955,2021-11-02T11:59:59.999000Z,2021-11-02T12:00:10.072Z,2021-11-02T11:59:59.999Z,68f2bbb3-0259-fdf0-349f-278db210f05c,Settlement,TRXUSDT,Sell,FFWCSX,DERIVATIVE,2023-11-07T04:00:00.000Z,2026-01-29T12:00:00.000Z,2026-01-29T12:00:00.000Z,Settled,8332,8332,8332,0,0.10275,0.10275,0.10275,USDT,XBt,-85611300,0,,-524354.9402139711,53877.47010698552,,NOT_APPLICABLE,8332,-8332,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
104694,2021-12-31T11:59:59.999000Z,2021-12-31T12:00:10.054Z,2021-12-31T11:59:59.999Z,d2436e87-e8aa-91d5-20eb-de74f0688747,Settlement,ETHZ21,Sell,FFCCSX,DERIVATIVE,2021-09-15T04:00:00.000Z,2021-12-31T12:00:00.000Z,2021-12-31T12:00:00.000Z,Settled,25450000000,25450000000,25450000000,0,0.07874,0.07874,0.07874,XBT,XBt,-2003933000,0,,-254.5,20.03933,,NOT_APPLICABLE,25450000000,-25450000000,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
126009,2022-06-24T11:59:59.999000Z,2022-06-24T12:00:10.079Z,2022-06-24T11:59:59.999Z,d6b72f59-ce20-9043-dec6-5fe862e213e5,Settlement,ETHM22,Sell,FFCCSX,DERIVATIVE,2022-03-16T04:00:00.000Z,2022-06-24T12:00:00.000Z,2022-06-24T12:00:00.000Z,Settled,2086000,2086000,2086000,0,0.05626,0.05626,0.05626,XBT,XBt,-117358360,0,,-20.86,1.1735836,,NOT_APPLICABLE,2086000,-2086000,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
137546,2023-03-31T11:59:59.999000Z,2023-03-31T12:00:10.114Z,2023-03-31T11:59:59.999Z,0405f072-04ab-3737-a08a-65d6f84092de,Settlement,ETHH23,Sell,FFCCSX,DERIVATIVE,2022-12-14T04:00:00.000Z,2023-03-31T12:00:00.000Z,2023-03-31T12:00:00.000Z,Settled,1029000,1029000,1029000,0,0.06419,0.06419,0.06419,XBT,XBt,-66051510,0,,-10.29,0.6605151,,NOT_APPLICABLE,1029000,-1029000,0,CLOSE_LONG,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
140167,2023-06-30T11:59:59.999000Z,2023-06-30T12:00:10.030Z,2023-06-30T11:59:59.999Z,4ff3b2aa-54d6-6150-1335-13e8ce02220d,Settlement,ETHM23,Buy,FFCCSX,DERIVATIVE,2023-03-14T04:00:00.000Z,2023-06-30T12:00:00.000Z,2023-06-30T12:00:00.000Z,Settled,747000,747000,747000,0,0.06128,0.06128,0.06128,XBT,XBt,45776160,0,,7.47,-0.4577616,,NOT_APPLICABLE,-747000,747000,0,CLOSE_SHORT,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
142568,2023-09-29T11:59:59.999000Z,2023-09-29T12:00:10.164Z,2023-09-29T11:59:59.999Z,bbb5fa5f-0716-d44a-1afe-18272c8a0eb3,Settlement,ETHU23,Buy,FFCCSX,DERIVATIVE,2023-06-14T04:00:00.000Z,2023-09-29T12:00:00.000Z,2023-09-29T12:00:00.000Z,Settled,6424000,6424000,6424000,0,0.06187,0.06187,0.06187,XBT,XBt,397452880,0,,64.24,-3.9745288,,NOT_APPLICABLE,-6424000,6424000,0,CLOSE_SHORT,APPLIED_POSITION_DELTA,APPLIED_POSITION_DELTA,Settlement side and quantity exactly close the pre-settlement derivative position.,INSTRUMENT_METADATA_AND_POSITION_CLOSE_INVARIANT,INSTRUMENT_METADATA_CLOSE_INVARIANT,,OK,Settlement validated against position_before/position_after; no PnL is calculated.
