event_time,execID,symbol,spec_id,settlement_currency,asset_scale,execCost_raw,execCost_major,execComm_raw,execComm_major,realisedPnl_raw,realisedPnl_major,settlement_status,normalization_status
2020-12-25T11:59:59.999000Z,00cde560-bb12-e103-be34-f25d857472aa,YFIUSDTZ20,YFIUSDTZ20-SNAPSHOT-4dc7c46f1a13,XBT,8,-86228790,-0.8622879,0,0,,,PASS,PASS
2020-12-25T11:59:59.999000Z,7dd33a7a-e74e-4c17-460c-1f938c0fdbd4,LTCZ20,LTCZ20-SNAPSHOT-6c0bdf235daa,XBT,8,-184437600,-1.844376,0,0,,,PASS,PASS
2020-12-25T11:59:59.999000Z,ef4c248c-5878-5c1c-a1c0-cab05d59d932,ETHZ20,ETHZ20-SNAPSHOT-a3dbfc606e07,XBT,8,-2316471000,-23.16471,0,0,,,PASS,PASS
2021-03-26T11:59:59.999000Z,b6312ffe-df7c-41c7-570d-0bd97c17e9a5,ETHH21,ETHH21-SNAPSHOT-7defb7df634a,XBT,8,-459750000,-4.5975,0,0,,,PASS,PASS
2021-09-24T11:59:59.999000Z,7a34520d-79f3-561a-393a-ca34af0ab555,TRXU21,TRXU21-SNAPSHOT-69ba84614693,XBT,8,-240570000,-2.4057,0,0,,,PASS,PASS
2021-09-24T11:59:59.999000Z,c30a506f-3bce-dade-6497-3446e4df0a89,LTCU21,LTCU21-SNAPSHOT-467dc1a462b5,XBT,8,-353600000,-3.536,0,0,,,PASS,PASS
2021-11-02T11:59:59.999000Z,0d881570-ba4c-bc12-7efb-56ae7220d7eb,AAVEUSDT,AAVEUSDT-QUANTO-XBT-2021,XBT,8,-242429571,-2.42429571,0,0,,,PASS,PASS
2021-11-02T11:59:59.999000Z,68f2bbb3-0259-fdf0-349f-278db210f05c,TRXUSDT,TRXUSDT-QUANTO-XBT-2021,XBT,8,-85611300,-0.856113,0,0,,,PASS,PASS
2021-12-31T11:59:59.999000Z,d2436e87-e8aa-91d5-20eb-de74f0688747,ETHZ21,ETHZ21-SNAPSHOT-914c6371f631,XBT,8,-2003933000,-20.03933,0,0,,,PASS,PASS
2022-06-24T11:59:59.999000Z,d6b72f59-ce20-9043-dec6-5fe862e213e5,ETHM22,ETHM22-SNAPSHOT-0d7168f2d9ea,XBT,8,-117358360,-1.1735836,0,0,,,PASS,PASS
2023-03-31T11:59:59.999000Z,0405f072-04ab-3737-a08a-65d6f84092de,ETHH23,ETHH23-SNAPSHOT-0bb6b2ebf515,XBT,8,-66051510,-0.6605151,0,0,,,PASS,PASS
2023-06-30T11:59:59.999000Z,4ff3b2aa-54d6-6150-1335-13e8ce02220d,ETHM23,ETHM23-SNAPSHOT-e98676f78b44,XBT,8,45776160,0.4577616,0,0,,,PASS,PASS
2023-09-29T11:59:59.999000Z,bbb5fa5f-0716-d44a-1afe-18272c8a0eb3,ETHU23,ETHU23-SNAPSHOT-99ec4261adc6,XBT,8,397452880,3.9745288,0,0,,,PASS,PASS
2023-10-19T12:00:00Z,12b7d977-d654-2ba0-2839-3e25cde3c880,ORDIUSD,ORDIUSD-QUANTO-XBT-2023,XBT,8,-213056,-0.00213056,0,0,,,PASS,PASS
2023-12-29T12:00:00Z,d91ede81-0a13-3c9c-99b7-de1d0a3b3078,ETHZ23,ETHZ23-SNAPSHOT-be69a4b3e872,XBT,8,5643660,0.0564366,0,0,,,PASS,PASS
2024-03-29T12:00:00Z,8abe1bc8-2050-946e-55fe-950b91ce7ece,ETHH24,ETHH24-SNAPSHOT-5379934736a4,XBT,8,-10120000,-0.1012,0,0,,,PASS,PASS
2024-06-28T12:00:10.288000Z,00000000-0077-1000-0000-00000dd74f41,ETHM24,ETHM24-SNAPSHOT-56d43ae69704,XBT,8,-688821920,-6.8882192,0,0,,,PASS,PASS
2024-09-27T12:00:15.299000Z,00000000-0077-1000-0000-0000154082dc,ETHU24,ETHU24-SNAPSHOT-8fd7ea95c5bf,XBT,8,-396998000,-3.96998,0,0,,,PASS,PASS
2024-12-27T12:00:10.289000Z,00000000-0077-1000-0000-0000232df236,ETHZ24,ETHZ24-SNAPSHOT-a624e9ec2f8d,XBT,8,-165780720,-1.6578072,0,0,-6870867,-0.06870867,PASS,PASS
