spec_id,symbol,source_type,valid_from,valid_to_exclusive,payout_model,underlying,quote_currency,settlement_currency,margin_currency,multiplier_major,multiplier_currency,multiplier_raw,evidence_confidence,missing_fields,field_provenance,source_urls,data_source_commit,metadata_row_sha256,notes
1000000MOGUSDT-SNAPSHOT-11b5ef9e6a10,1000000MOGUSDT,BITMEX_INSTRUMENT_SNAPSHOT,2024-12-05T04:00:00Z,9999-12-31T00:00:00Z,LINEAR,1000000MOG,USDT,USDT,USDT,1,1000000MOG,1000000,OFFICIAL_EXPLICIT,,"{""multiplier_major"": ""1 / underlyingToPositionMultiplier from the frozen instrument row"", ""snapshot_fields"": ""Directly retained from the complete frozen CSV row."", ""valid_interval"": ""listing through the registry snapshot horizon; not a claim about future exchange metadata.""}",https://docs.bitmex.com/api-explorer/get-instruments,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,11b5ef9e6a10eedc1d112f3538757614b1dace3f506894ceb93717da8b6da3a1,Current snapshot version generated locally without network access.
100BONKUSDT-SNAPSHOT-c9b878cedd91,100BONKUSDT,BITMEX_INSTRUMENT_SNAPSHOT,2023-11-21T04:00:00Z,9999-12-31T00:00:00Z,LINEAR,100BONK,USDT,USDT,USDT,1,100BONK,1000000,OFFICIAL_EXPLICIT,,"{""multiplier_major"": ""1 / underlyingToPositionMultiplier from the frozen instrument row"", ""snapshot_fields"": ""Directly retained from the complete frozen CSV row."", ""valid_interval"": ""listing through the registry snapshot horizon; not a claim about future exchange metadata.""}",https://docs.bitmex.com/api-explorer/get-instruments,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,c9b878cedd91275e96b413b5352d0a83ee11e501f7c42241cc3240b51c617c36,Current snapshot version generated locally without network access.
100SATSUSD-SNAPSHOT-6bcafa256d95,100SATSUSD,BITMEX_INSTRUMENT_SNAPSHOT,2023-11-16T04:00:00Z,9999-12-31T00:00:00Z,QUANTO,100SATS,USD,XBT,XBT,1,XBT,100000000,OFFICIAL_EXPLICIT,,"{""multiplier_major"": ""multiplier / 100000000 XBt per the frozen BitMEX instrument snapshot"", ""snapshot_fields"": ""Directly retained from the complete frozen CSV row."", ""valid_interval"": ""listing through the registry snapshot horizon; not a claim about future exchange metadata.""}",https://docs.bitmex.com/api-explorer/get-instruments,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,6bcafa256d95d21e47c7543554193466227e34b53870467d58c74784a3ce6e40,Current snapshot version generated locally without network access.
1TAIDOGEUSD-SNAPSHOT-3051db83cf9a,1TAIDOGEUSD,BITMEX_INSTRUMENT_SNAPSHOT,2023-05-16T12:00:00Z,9999-12-31T00:00:00Z,QUANTO,1TAIDOGE,USD,XBT,XBT,0.000001,XBT,100,OFFICIAL_EXPLICIT,,"{""multiplier_major"": ""multiplier / 100000000 XBt per the frozen BitMEX instrument snapshot"", ""snapshot_fields"": ""Directly retained from the complete frozen CSV row."", ""valid_interval"": ""listing through the registry snapshot horizon; not a claim about future exchange metadata.""}",https://docs.bitmex.com/api-explorer/get-instruments,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,3051db83cf9acfdee01e7695f3db363e6086f3802b253707bd6b63ad9630f1c3,Current snapshot version generated locally without network access.
1TAIDOGEUSDT-SNAPSHOT-e23ae1a284b1,1TAIDOGEUSDT,BITMEX_INSTRUMENT_SNAPSHOT,2023-05-16T12:00:00Z,9999-12-31T00:00:00Z,LINEAR,1TAIDOGE,USDT,USDT,USDT,0.00001,1TAIDOGE,10,OFFICIAL_EXPLICIT,,"{""multiplier_major"": ""1 / underlyingToPositionMultiplier from the frozen instrument row"", ""snapshot_fields"": ""Directly retained from the complete frozen CSV row."", ""valid_interval"": ""listing through the registry snapshot horizon; not a claim about future exchange metadata.""}",https://docs.bitmex.com/api-explorer/get-instruments,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,e23ae1a284b179163209caf34136382d62719fe37707068239b64b120608f189,Current snapshot version generated locally without network access.
AAPLUSDT-SNAPSHOT-a0c2e7605e6b,AAPLUSDT,BITMEX_INSTRUMENT_SNAPSHOT,2025-12-15T12:00:00Z,9999-12-31T00:00:00Z,LINEAR,AAPL,USDT,USDT,USDT,0.01,AAPL,10000,OFFICIAL_EXPLICIT,,"{""multiplier_major"": ""1 / underlyingToPositionMultiplier from the frozen instrument row"", ""snapshot_fields"": ""Directly retained from the complete frozen CSV row."", ""valid_interval"": ""listing through the registry snapshot horizon; not a claim about future exchange metadata.""}",https://docs.bitmex.com/api-explorer/get-instruments,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,a0c2e7605e6b20620e90f6c195c3d93d979c0993bae78fcab681d7ff2a3bc587,Current snapshot version generated locally without network access.
AAVEUSD-SNAPSHOT-e32c8712310d,AAVEUSD,BITMEX_INSTRUMENT_SNAPSHOT,2024-09-04T12:00:00Z,9999-12-31T00:00:00Z,QUANTO,AAVE,USD,XBT,XBT,0.000001,XBT,100,OFFICIAL_EXPLICIT,,"{""multiplier_major"": ""multiplier / 100000000 XBt per the frozen BitMEX instrument snapshot"", ""snapshot_fields"": ""Directly retained from the complete frozen CSV row."", ""valid_interval"": ""listing through the registry snapshot horizon; not a claim about future exchange metadata.""}",https://docs.bitmex.com/api-explorer/get-instruments,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,e32c8712310dafa7b7e5b16d60988ffd90055eb69690ce64a21df1da0bccb7e5,Current snapshot version generated locally without network access.
AAVEUSDT-QUANTO-XBT-2021,AAVEUSDT,CONFIGURED_HISTORICAL,2021-07-14T04:00:00Z,2021-11-02T12:00:00Z,QUANTO,.BAAVET,USDT,XBT,XBT,0.000001,XBT,100,OFFICIAL_EXPLICIT,,"{""execution_cross_check"": ""402/402 Trade rows agree."", ""multiplier_major"": ""Official 100 satoshi multiplier."", ""valid_interval"": ""Official launch and early-settlement dates.""}",https://www.bitmex.com/blog/introducing-the-aaveusdt-quanto-perpetual-contract,,,Old Quanto version; 2024 linear snapshot is a separate version.
AAVEUSDT-SNAPSHOT-811010c27cf5,AAVEUSDT,BITMEX_INSTRUMENT_SNAPSHOT,2024-09-04T12:00:00Z,9999-12-31T00:00:00Z,LINEAR,AAVE,USDT,USDT,USDT,0.0001,AAVE,100,OFFICIAL_EXPLICIT,,"{""multiplier_major"": ""1 / underlyingToPositionMultiplier from the frozen instrument row"", ""snapshot_fields"": ""Directly retained from the complete frozen CSV row."", ""valid_interval"": ""listing through the registry snapshot horizon; not a claim about future exchange metadata.""}",https://docs.bitmex.com/api-explorer/get-instruments,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,811010c27cf5225d914bfaf7da163103c8205c8eb231b817e02923ffee4dee8c,Current snapshot version generated locally without network access.
ACEUSDT-SNAPSHOT-3897c4df7e91,ACEUSDT,BITMEX_INSTRUMENT_SNAPSHOT,2023-12-18T12:00:00Z,9999-12-31T00:00:00Z,LINEAR,ACE,USDT,USDT,USDT,1,ACE,1000000,OFFICIAL_EXPLICIT,,"{""multiplier_major"": ""1 / underlyingToPositionMultiplier from the frozen instrument row"", ""snapshot_fields"": ""Directly retained from the complete frozen CSV row."", ""valid_interval"": ""listing through the registry snapshot horizon; not a claim about future exchange metadata.""}",https://docs.bitmex.com/api-explorer/get-instruments,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,3897c4df7e91861d5a7f05982dc103f49923b0729368da9651289ce933626316,Current snapshot version generated locally without network access.
