model,split,true_action,predicted_action,count
frequency_baseline,TRAIN,ADD_LONG,ADD_LONG,3855
frequency_baseline,TRAIN,ADD_LONG,ADD_SHORT,275
frequency_baseline,TRAIN,ADD_LONG,REDUCE_LONG,738
frequency_baseline,TRAIN,ADD_SHORT,ADD_LONG,410
frequency_baseline,TRAIN,ADD_SHORT,ADD_SHORT,1920
frequency_baseline,TRAIN,ADD_SHORT,REDUCE_LONG,4
frequency_baseline,TRAIN,ADD_SHORT,REDUCE_SHORT,709
frequency_baseline,TRAIN,CLOSE_LONG,ADD_LONG,200
frequency_baseline,TRAIN,CLOSE_LONG,ADD_SHORT,48
frequency_baseline,TRAIN,CLOSE_LONG,REDUCE_LONG,35
frequency_baseline,TRAIN,CLOSE_SHORT,ADD_LONG,52
frequency_baseline,TRAIN,CLOSE_SHORT,ADD_SHORT,69
frequency_baseline,TRAIN,CLOSE_SHORT,REDUCE_SHORT,26
frequency_baseline,TRAIN,FLIP_LONG_TO_SHORT,ADD_LONG,21
frequency_baseline,TRAIN,FLIP_LONG_TO_SHORT,ADD_SHORT,12
frequency_baseline,TRAIN,FLIP_LONG_TO_SHORT,REDUCE_LONG,7
frequency_baseline,TRAIN,FLIP_SHORT_TO_LONG,ADD_LONG,18
frequency_baseline,TRAIN,FLIP_SHORT_TO_LONG,ADD_SHORT,16
frequency_baseline,TRAIN,FLIP_SHORT_TO_LONG,REDUCE_LONG,1
frequency_baseline,TRAIN,FLIP_SHORT_TO_LONG,REDUCE_SHORT,10
frequency_baseline,TRAIN,HOLD_LONG,ADD_LONG,50
frequency_baseline,TRAIN,HOLD_LONG,ADD_SHORT,12
frequency_baseline,TRAIN,HOLD_LONG,REDUCE_LONG,7
frequency_baseline,TRAIN,HOLD_SHORT,ADD_LONG,5
frequency_baseline,TRAIN,HOLD_SHORT,ADD_SHORT,16
frequency_baseline,TRAIN,HOLD_SHORT,REDUCE_SHORT,3
frequency_baseline,TRAIN,NO_TRADE,ADD_LONG,42
frequency_baseline,TRAIN,NO_TRADE,ADD_SHORT,28
frequency_baseline,TRAIN,NO_TRADE,REDUCE_LONG,2
frequency_baseline,TRAIN,NO_TRADE,REDUCE_SHORT,3
