window,model,cost_profile,venue_symbol,fee_multiplier,slippage_ticks,status,net_return,gross_profit,gross_loss,fees,funding,slippage,turnover,signal_count,executed_adjustments,average_return_per_adjustment,profit_factor,funding_events_observed,funding_events_missing,bar_count,test_rows,test_start,test_end,active_symbols
WF1,v2,BASE,DOGE-USDT-SWAP,1.0,1.0,PASS,0.08452440624577595,2.6131320578272113,2.5255104834177144,0.001692348637751406,0.04560596987879092,0.00025233611903482755,3.2906150196890014,160,100,0.0008452440624577595,1.034694599363104,927,6489,7416,,,,
WF1,v2,BASE,HISTORICAL:ETHUSD,1.0,1.0,PASS,-0.00766896969980313,0.04555578553544293,0.05324218423652349,0.00032523492225059803,-0.0013416277961468897,2.394788791340341e-06,0.6323891520999999,47,33,-0.00023239302120615544,0.8556332950779321,171,1194,1365,,,,
WF1,v2,STRESS,DOGE-USDT-SWAP,1.5,2.0,PASS,0.08336087784724122,2.6127638789309127,2.5262131028099146,0.0025385229566271088,0.045587318558002486,0.0005046722380696551,3.2906150196890014,160,100,0.0008336087784724122,1.0342610748177687,927,6489,7416,,,,
WF1,v2,STRESS,HISTORICAL:ETHUSD,1.5,2.0,PASS,-0.007833085042415644,0.04546641703359189,0.053318221936493715,0.0004878523833758969,-0.001341489953939571,4.789577582680682e-06,0.6323891520999999,47,33,-0.00023736621340653466,0.8527369327459202,171,1194,1365,,,,
WF1,v3,BASE,DOGE-USDT-SWAP,1.0,1.0,PASS,0.08356851407769339,2.6273159602646983,2.5405462153580327,0.001728725756197948,0.046387416259812,0.00025809703434767715,3.3613469537969993,160,100,0.0008356851407769339,1.0341539722372015,927,6489,7416,,,,
WF1,v3,BASE,HISTORICAL:ETHUSD,1.0,1.0,PASS,-0.009343811936475488,0.05422330564268596,0.06359407190837019,0.0003628282162239796,-0.0015860030712528683,2.6862509980098903e-06,0.7054858267619999,47,33,-0.00028314581625683296,0.8526471731644085,171,1194,1365,,,,
WF1,v3,STRESS,DOGE-USDT-SWAP,1.5,2.0,PASS,0.08238194733215853,2.6269426972862457,2.541265958486556,0.0025930886342969217,0.04636855338441844,0.0005161940686953543,3.3613469537969993,160,100,0.0008238194733215853,1.033714196073643,927,6489,7416,,,,
WF1,v3,STRESS,HISTORICAL:ETHUSD,1.5,2.0,PASS,-0.009526697311845633,0.054130037903011186,0.06368543947633509,0.0005442423243359693,-0.0015858123296720044,5.372501996019781e-06,0.7054858267619999,47,33,-0.00028868779732865556,0.8499593996383646,171,1194,1365,,,,
WF1,v2,BASE,,,,PASS,0.03842771827298641,2.658687843362654,2.578752667654238,0.001008791780001002,0.022132171041322014,0.00012736545391308393,1.9615020858945007,207,133,0.00030642552062580205,1.0309976124159008,1098,7683,,207,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2
WF1,v2,STRESS,,,,PASS,0.03776389640241279,2.6582302959645046,2.5795313247464082,0.0015131876700015029,0.022122914302031456,0.00025473090782616786,1.9615020858945007,207,133,0.00029812128253293876,1.030509019395542,1098,7683,,207,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2
WF1,v3,BASE,,,,PASS,0.03711235107060895,2.681539265907384,2.604140287266403,0.0010457769862109638,0.022400706594279566,0.0001303916426728435,2.0334163902794997,207,133,0.0002762696622600505,1.0297215088677991,1098,7683,,207,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2
WF1,v3,STRESS,,,,PASS,0.03642762501015645,2.681072735189257,2.604951397962891,0.0015686654793164456,0.02239137052737322,0.000260783285345687,2.0334163902794997,207,133,0.00026756583799646485,1.0292217878943515,1098,7683,,207,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2
WF1,NO_TRADE,BASE,,,,NO_TEST_DATA,,,,,,,,,,,,,,,207,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0
WF1,EQUAL_WEIGHT_LONG,BASE,,,,PASS,0.11964258861374882,28.409109359849797,27.73988308909854,0.0005142955428165985,0.3863529304977214,5.824407533207367e-05,1.0,2,2,0.11964258861374882,1.0241250573624174,1098,7683,,207,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2
WF2,v2,BASE,,,,NO_TEST_DATA,,,,,,,,,,,,,,,0,,,0
WF2,v2,STRESS,,,,NO_TEST_DATA,,,,,,,,,,,,,,,0,,,0
WF2,v3,BASE,,,,NO_TEST_DATA,,,,,,,,,,,,,,,0,,,0
WF2,v3,STRESS,,,,NO_TEST_DATA,,,,,,,,,,,,,,,0,,,0
WF3,v2,BASE,,,,NO_TEST_DATA,,,,,,,,,,,,,,,0,,,0
WF3,v2,STRESS,,,,NO_TEST_DATA,,,,,,,,,,,,,,,0,,,0
WF3,v3,BASE,,,,NO_TEST_DATA,,,,,,,,,,,,,,,0,,,0
WF3,v3,STRESS,,,,NO_TEST_DATA,,,,,,,,,,,,,,,0,,,0
