window,split,model,symbol,canonical_instrument,rows_seen,labeled_rows,action_accuracy,action_macro_f1,target_exposure_mae,target_exposure_correlation,open_recall,close_recall,add_recall,reduce_recall,flip_recall
WF1,VALIDATION,v2,DOGEUSD,DOGE-USDT-SWAP,344,344,0.6191860465116279,0.13068611879130146,0.08804189656014146,0.9552952487266954,0.0,0.0,0.7165775401069518,0.68,0.0
WF1,VALIDATION,v2,ETHUSD,HISTORICAL:ETHUSD,229,229,0.13100436681222707,0.045827456272636,0.020916406427539082,0.8724357292001516,0.0,0.0,0.464,0.5844155844155844,0.0
WF1,VALIDATION,v2,LTCUSD,HISTORICAL:LTCUSD,229,228,0.6798245614035088,0.20350680388235867,0.032839504740846126,0.9025962397689666,0.0,0.0,0.86,0.6509433962264151,0.0
WF1,VALIDATION,v2,XRPUSD,HISTORICAL:XRPUSD,48,47,0.574468085106383,0.30625,0.02955565447800123,0.8491413635152479,0.0,0.0,0.75,0.6,
WF1,TEST,v2,DOGEUSD,DOGE-USDT-SWAP,160,159,0.6792452830188679,0.3495238095238095,0.034922911385288816,0.9183758084866479,0.0,0.0,0.8767123287671232,0.5866666666666667,
WF1,TEST,v2,ETHUSD,HISTORICAL:ETHUSD,47,46,0.06521739130434782,0.03125,0.019621152631496462,0.3960832687792612,0.0,0.0,0.9642857142857143,0.23076923076923078,
WF1,VALIDATION,v3,DOGEUSD,DOGE-USDT-SWAP,344,344,0.625,0.13179489192956279,0.08868416510827258,0.9551789564834737,0.0,0.0,0.7272727272727273,0.68,0.0
WF1,VALIDATION,v3,ETHUSD,HISTORICAL:ETHUSD,229,229,0.13100436681222707,0.045912777629924476,0.021625880303778322,0.8631747175305564,0.0,0.0,0.464,0.5974025974025974,0.0
WF1,VALIDATION,v3,LTCUSD,HISTORICAL:LTCUSD,229,228,0.6754385964912281,0.2021163343307985,0.034065221056838846,0.898102146784091,0.0,0.0,0.86,0.6415094339622641,0.0
WF1,VALIDATION,v3,XRPUSD,HISTORICAL:XRPUSD,48,47,0.5957446808510638,0.31780538302277433,0.030671693775085315,0.8351060268558886,0.0,0.0,0.8125,0.6,
WF1,TEST,v3,DOGEUSD,DOGE-USDT-SWAP,160,159,0.6792452830188679,0.3495238095238095,0.035230734405065446,0.917216254283787,0.0,0.0,0.8767123287671232,0.5866666666666667,
WF1,TEST,v3,ETHUSD,HISTORICAL:ETHUSD,47,46,0.06521739130434782,0.03225806451612903,0.02034516610094235,0.46327571699127296,0.0,0.0,0.8214285714285714,0.3076923076923077,
WF2,VALIDATION,v2,DOGEUSD,DOGE-USDT-SWAP,160,159,0.6792452830188679,0.3495238095238095,0.03809981754863134,0.920219771074214,0.0,0.0,0.8767123287671232,0.5866666666666667,
WF2,VALIDATION,v2,ETHUSD,HISTORICAL:ETHUSD,47,46,0.45652173913043476,0.1206896551724138,0.017322320475004024,0.4114098755191448,0.0,0.0,1.0,0.0,
WF2,VALIDATION,v3,DOGEUSD,DOGE-USDT-SWAP,160,159,0.6918238993710691,0.35567144719687094,0.038413135575246005,0.9196729446459471,0.0,0.0,0.9041095890410958,0.5866666666666667,
WF2,VALIDATION,v3,ETHUSD,HISTORICAL:ETHUSD,47,46,0.45652173913043476,0.12280701754385964,0.01796240932750973,0.4662190939443971,0.0,0.0,1.0,0.0,
