window,split,model,start,end,rows_seen,labeled_rows,action_accuracy,action_macro_f1,target_exposure_mae,target_exposure_correlation,open_recall,close_recall,add_recall,reduce_recall,flip_recall
WF1,VALIDATION,v2,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,850,848,0.5011792452830188,0.12032850503668405,0.05183112303062982,0.9672337737397344,0.0,0.0,0.677570093457944,0.6426426426426426,0.0
WF1,TEST,v2,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,207,205,0.5414634146341464,0.17897702881379216,0.031489346006389064,0.9221762638776544,0.0,0.0,0.900990099009901,0.5340909090909091,
WF1,VALIDATION,v3,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,850,848,0.5035377358490566,0.12080545624360195,0.052674669098112345,0.9666545755908732,0.0,0.0,0.6845794392523364,0.6426426426426426,0.0
WF1,TEST,v3,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,207,205,0.5414634146341464,0.17841131130051185,0.031890558102676846,0.9197162533228779,0.0,0.0,0.8613861386138614,0.5454545454545454,
WF2,VALIDATION,v2,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,207,205,0.6292682926829268,0.2574345346123931,0.0334375499125979,0.9244787304218405,0.0,0.0,0.9108910891089109,0.5,
WF2,TEST,v2,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0,0,,,,,,,,,
WF2,VALIDATION,v3,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,207,205,0.6390243902439025,0.26137609649122806,0.033824192124534455,0.922777112884763,0.0,0.0,0.9306930693069307,0.5,
WF2,TEST,v3,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0,0,,,,,,,,,
WF3,VALIDATION,v2,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0,0,,,,,,,,,
WF3,TEST,v2,2026-01-01T00:00:00+00:00,2026-07-18T21:17:31.514000+00:00,0,0,,,,,,,,,
WF3,VALIDATION,v3,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0,0,,,,,,,,,
WF3,TEST,v3,2026-01-01T00:00:00+00:00,2026-07-18T21:17:31.514000+00:00,0,0,,,,,,,,,
