model,split,rows_seen,rows_with_future_label,target_exposure_mae,target_exposure_correlation,direction_accuracy
frequency_baseline,TRAIN,14591,14591,0.07373944929956523,0.7150414825424238,0.8960318004249195
frequency_baseline,VALIDATION,3127,3127,0.05087302775138961,0.7571101677142252,0.8487368084425967
frequency_baseline,TEST,3127,3126,0.06368091374442282,0.7705337121125073,0.9772872680742163
distilled_rules,TRAIN,14591,14591,0.059456845558180094,0.8733537618522875,0.7190048660132958
distilled_rules,VALIDATION,3127,3127,0.048037176447463845,0.7179503358295753,0.6389510713143588
distilled_rules,TEST,3127,3126,0.06048606087089835,0.778762982438475,0.9497760716570698
logistic_numpy,TRAIN,14591,14591,0.011163140074891739,0.9915386046978546,0.9139195394421219
logistic_numpy,VALIDATION,3127,3127,0.007031784696344145,0.9868863099776504,0.8810361368724017
logistic_numpy,TEST,3127,3126,0.010020955750873587,0.9887460918311194,0.9782469609724888
decision_tree_numpy,TRAIN,14591,14591,0.06667651723097273,0.7614257620181313,0.9346857651977246
decision_tree_numpy,VALIDATION,3127,3127,0.04936250587106949,0.7473575136571536,0.9075791493444195
decision_tree_numpy,TEST,3127,3126,0.0680945419966931,0.7405291129193411,0.9801663467690339
