model,split,market_regime,row_count,action_accuracy,direction_accuracy,target_exposure_mae
frequency_baseline,TRAIN,RANGE_OR_MIXED,3678,0.5168569874932029,0.8890701468189234,0.06679328469757162
frequency_baseline,TRAIN,TREND_DOWN,6336,0.538510101010101,0.9161931818181818,0.07613820929628783
frequency_baseline,TRAIN,TREND_UP,4574,0.5074333187581985,0.8738522081329252,0.07604977864254661
frequency_baseline,TRAIN,UNKNOWN,3,0.6666666666666666,0.6666666666666666,0.001074
frequency_baseline,VALIDATION,RANGE_OR_MIXED,1033,0.409486931268151,0.8131655372700871,0.04704950356477808
frequency_baseline,VALIDATION,TREND_DOWN,1076,0.4247211895910781,0.8661710037174721,0.05614090142647383
frequency_baseline,VALIDATION,TREND_UP,1018,0.4911591355599214,0.8664047151277013,0.04918488277140837
frequency_baseline,TEST,RANGE_OR_MIXED,915,0.43387978142076505,0.9726775956284153,0.060251550053764966
frequency_baseline,TEST,TREND_DOWN,1143,0.5643044619422573,0.9807524059492564,0.06472087484147729
frequency_baseline,TEST,TREND_UP,1068,0.5655430711610487,0.9775280898876404,0.06550600011429052
distilled_rules,TRAIN,RANGE_OR_MIXED,3678,0.2156063077759652,0.7446982055464927,0.044186668933278724
distilled_rules,TRAIN,TREND_DOWN,6336,0.2915088383838384,0.6928661616161617,0.06733490131201
distilled_rules,TRAIN,TREND_UP,4574,0.2728465238303454,0.7348054219501531,0.06086063202665309
distilled_rules,TRAIN,UNKNOWN,3,0.0,0.3333333333333333,0.0019332000000000002
distilled_rules,VALIDATION,RANGE_OR_MIXED,1033,0.1936108422071636,0.6418199419167473,0.0380192545982575
distilled_rules,VALIDATION,TREND_DOWN,1076,0.29739776951672864,0.6366171003717472,0.053896360950990665
distilled_rules,VALIDATION,TREND_UP,1018,0.24459724950884087,0.6385068762278978,0.05200970173669301
distilled_rules,TEST,RANGE_OR_MIXED,915,0.26557377049180325,0.9540983606557377,0.04830990163934427
distilled_rules,TEST,TREND_DOWN,1143,0.2782152230971129,0.952755905511811,0.04983797946273082
distilled_rules,TEST,TREND_UP,1068,0.3445692883895131,0.9428838951310862,0.0823137226184709
