cycle_id,symbol,is_btc_first_scope,direction,open_time,close_time,duration_seconds,initial_qty,maximum_abs_qty,terminal_qty,opening_exec_count,add_count,reduce_count,flip_origin,close_type,opening_execID,closing_execID,cycle_event_count,funding_event_count,gross_pnl_analytical,reported_pnl_total,reported_pnl_count,fee,funding,wallet_net_candidate,wallet_net_status,pnl_currency,reported_pnl_available,ordering_confidence,action_confidence,accounting_confidence,price_confidence,wallet_confidence,overall_confidence,confidence_status,accounting_position_cycle_ids,strategy_fidelity
XBTUSD-C0001,XBTUSD,True,LONG,2020-05-01T09:03:47.360000Z,2020-05-01T11:47:37.525000Z,9830.165,1500,28998,0,1,6,1,NONE,FULL_CLOSE,1f778c8c-a0b4-62da-b752-7a01cc143bb6,f16490eb-c299-13c4-5934-aca00bdc2715,9,0,7094844.000000000000000000000,0,0,339952,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0001,BEHAVIORAL_APPROXIMATION
XBTUSD-C0002,XBTUSD,True,LONG,2020-05-01T12:34:19.019000Z,2020-05-01T20:06:31.420000Z,27132.401,9666,74992,0,1,17,2,NONE,FULL_CLOSE,24c42134-a03a-b275-df47-6a83ca7fdec8,fa04891f-c3fe-8983-4df0-fb14086c2615,21,1,-6020755.999999999999999999999,0,0,513941,85873,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0002,BEHAVIORAL_APPROXIMATION
XBTUSD-C0003,XBTUSD,True,LONG,2020-05-01T21:30:33.177000Z,2020-05-02T13:23:41.130000Z,57187.953,11080,35332,0,1,9,3,NONE,FULL_CLOSE,05f83ccf-70ef-b1da-1eb7-7fb723af742e,e9087b9a-7993-c2b5-422e-b60321a92e4c,14,2,5158472,0,0,541036,79871,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0003,BEHAVIORAL_APPROXIMATION
LTCM20-C0001,LTCM20,False,SHORT,2020-05-01T23:45:58.220000Z,2020-05-02T20:49:14.945000Z,75796.725,-14,333,0,1,30,7,NONE,FULL_CLOSE,658fe8e3-bc74-4657-220a-46acb096f139,d63d4be2-7d1b-534a-0cd6-b2ab4c33efb5,39,0,-6438000.000000000000000000000,0,0,427008,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LTCM20-C0001,BEHAVIORAL_APPROXIMATION
ADAM20-C0001,ADAM20,False,LONG,2020-05-02T14:26:45.069000Z,2020-05-04T14:09:50.806000Z,171785.737,3840,1828163,0,1,29,33,NONE,FULL_CLOSE,4c8d5cfc-a3f8-276d-be6b-5a43aae37d7d,708e5635-f053-b168-1f02-af9ebe3ad5c0,64,0,-34733667.00000000000000000000,0,0,1357891,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,ADAM20-C0001,BEHAVIORAL_APPROXIMATION
XBTUSD-C0004,XBTUSD,True,LONG,2020-05-02T18:08:49.639000Z,2020-05-03T06:07:39.930000Z,43130.291,4513,42996,0,1,8,10,NONE,FULL_CLOSE,38354b39-ab22-7c18-0ea6-2eebe5c1ad63,f1c867ea-87ed-412b-605b-e3d13d0f81de,20,2,13763387.99999999999999999999,0,0,210063,95421,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0004,BEHAVIORAL_APPROXIMATION
LTCM20-C0002,LTCM20,False,LONG,2020-05-02T20:49:14.945000Z,2020-05-04T05:17:10.296000Z,116875.351,20,1262,-134,1,10,56,NONE,FLIP,e7f56812-ac46-a222-4a61-d45e89b67d38,0e316439-9530-62e5-09fa-915527a6de29,68,0,-31609500.00000000000000000009,0,0,437544,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,"LTCM20-C0002,LTCM20-C0003",BEHAVIORAL_APPROXIMATION
XBTUSD-C0005,XBTUSD,True,LONG,2020-05-03T07:14:36.775000Z,2020-05-03T15:44:36.130000Z,30599.355,5666,103324,0,1,16,22,NONE,FULL_CLOSE,81817976-1cf2-70e4-5174-c4f4cfc14025,ffeee865-d980-66cb-74db-5206a36f5f2a,40,1,-6995028.000000000000000000000,0,0,642393,50092,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0005,BEHAVIORAL_APPROXIMATION
XBTUSD-C0006,XBTUSD,True,LONG,2020-05-03T15:49:59.145000Z,2020-05-05T09:25:24.095000Z,149724.95,4666,29108,0,1,3,3,NONE,FULL_CLOSE,4712f58a-0953-a910-d56d-b4335ea73a7e,da875f8d-cd3a-5f80-6093-b666265e10c9,8,5,12950566.00000000000000000000,0,0,142350,38175,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0006,BEHAVIORAL_APPROXIMATION
LTCM20-C0003,LTCM20,False,SHORT,2020-05-04T05:17:10.296000Z,2020-05-06T09:52:00.862000Z,189290.566,-134,2253,0,1,48,33,LTCM20-C0002,FULL_CLOSE,0e316439-9530-62e5-09fa-915527a6de29,fe71f178-ec54-9c59-0f31-35c5038649e5,83,0,19504000.00000000000000000002,0,0,2176535,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LTCM20-C0003,BEHAVIORAL_APPROXIMATION
XBTUSD-C0007,XBTUSD,True,LONG,2020-05-05T10:00:31.359000Z,2020-05-07T06:52:04.130000Z,161492.771,4666,51328,0,1,8,11,NONE,FULL_CLOSE,9c9f1428-c09f-87ea-d697-fa37c022d619,ec0d3146-f71f-1bc7-038b-ab01b74b744f,21,6,26000100.00000000000000000000,0,0,243253,303357,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0007,BEHAVIORAL_APPROXIMATION
XBTUSD-C0008,XBTUSD,True,LONG,2020-05-10T03:10:26.812000Z,2020-05-10T08:01:24.164000Z,17457.352,5444,87363,0,1,13,8,NONE,FULL_CLOSE,c2f401dd-61c6-7390-89c7-d66b4c0742ec,eac7eb1b-5ba9-dfd3-5805-366604eaaac3,23,1,35553895.00000000000000000000,0,0,918392,-45425,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0008,BEHAVIORAL_APPROXIMATION
XBTUSD-C0009,XBTUSD,True,SHORT,2020-05-10T08:20:27.874000Z,2020-05-10T09:59:47.298000Z,5959.424,-3804,3804,0,1,0,1,NONE,FULL_CLOSE,f73d078e-521d-0d53-a5a6-73b09d39043e,7526e2cb-cc1f-4ac5-50c2-5cfebba10683,3,0,448872,0,0,19243,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0009,BEHAVIORAL_APPROXIMATION
