symbol,settlement_currency,lastLiquidityInd,trade_count,positive_execComm_count,negative_execComm_count,zero_execComm_count,missing_execComm_count,positive_commission_count,negative_commission_count,zero_commission_count,fee_formula_exact_count,fee_formula_difference_count,fee_formula_difference_raw_sum
AAVEUSDT,XBT,AddedLiquidity,374,0,374,0,0,0,374,0,11,363,191.12750
AAVEUSDT,XBT,RemovedLiquidity,28,28,0,0,0,28,0,0,1,27,-12.58350
ADAM20,XBT,AddedLiquidity,241,0,204,37,0,0,241,0,0,241,116.35050000017467487560
ADAM20,XBT,RemovedLiquidity,125,122,3,0,0,122,3,0,0,125,-43.37860000104787836722
ADAUSD,XBT,AddedLiquidity,462,0,462,0,0,0,462,0,9,453,233.0430
ADAUSD,XBT,RemovedLiquidity,38,38,0,0,0,38,0,0,3,35,-19.1000
ADAUSDT,XBT,AddedLiquidity,134,0,134,0,0,0,134,0,49,85,38.84250
ADAUSDT,XBT,RemovedLiquidity,18,18,0,0,0,18,0,0,2,16,-7.99250
ALTMEXUSD,XBT,AddedLiquidity,43,0,43,0,0,0,43,0,1,42,17.64825
ALTMEXUSD,XBT,RemovedLiquidity,8,8,0,0,0,8,0,0,0,8,-2.48975
AXSUSDT,XBT,AddedLiquidity,804,0,804,0,0,0,804,0,209,595,300.38140
AXSUSDT,XBT,RemovedLiquidity,27,27,0,0,0,27,0,0,4,23,-13.62350
BCHH21,XBT,AddedLiquidity,76,0,76,0,0,0,76,0,23,53,24.50000
BCHH21,XBT,RemovedLiquidity,25,25,0,0,0,25,0,0,17,8,-4.00000
BCHUSD,XBT,AddedLiquidity,67,0,67,0,0,0,67,0,4,63,26.56625000001274825200
BCHUSD,XBT,RemovedLiquidity,59,59,0,0,0,59,0,0,2,57,-29.850500
BMEXUSD,XBT,AddedLiquidity,96,0,75,21,0,0,96,0,4,92,42.0291
BMEXUSD,XBT,RemovedLiquidity,18,18,0,0,0,18,0,0,0,18,-9.20700
BNBUSD,XBT,AddedLiquidity,18,0,18,0,0,0,18,0,0,18,7.8118
BNBUSD,XBT,RemovedLiquidity,8,8,0,0,0,8,0,0,0,8,-4.2010
BNBUSDT,XBT,AddedLiquidity,92,0,92,0,0,0,92,0,0,92,45.86095
BNBUSDT,XBT,RemovedLiquidity,21,21,0,0,0,21,0,0,0,21,-10.98700
DOGEUSD,XBT,AddedLiquidity,2445,1172,1093,180,0,1172,1132,141,203,2242,-8.50765
DOGEUSD,XBT,RemovedLiquidity,1206,1197,0,9,0,1197,0,9,29,1177,-569.66675
DOGEUSDT,XBT,AddedLiquidity,1374,0,1374,0,0,0,1374,0,101,1273,666.81570
DOGEUSDT,XBT,RemovedLiquidity,361,361,0,0,0,361,0,0,12,349,-174.18750
DOTUSDT,XBT,AddedLiquidity,3312,0,3312,0,0,0,3312,0,301,3011,1563.57625
DOTUSDT,XBT,RemovedLiquidity,47,47,0,0,0,47,0,0,2,45,-23.36000
DOTUSDTH21,XBT,AddedLiquidity,33,0,33,0,0,0,33,0,0,33,17.04500
DOTUSDTH21,XBT,RemovedLiquidity,16,15,1,0,0,15,1,0,1,15,-9.39625
EOSH21,XBT,AddedLiquidity,18,0,18,0,0,0,18,0,0,18,7.08250
EOSH21,XBT,RemovedLiquidity,19,19,0,0,0,19,0,0,5,14,-6.92500
EOSUSDTZ20,XBT,AddedLiquidity,5,0,5,0,0,0,5,0,0,5,2.26587500000363149030
EOSUSDTZ20,XBT,RemovedLiquidity,2,2,0,0,0,2,0,0,0,2,-0.742750
ETHH21,XBT,AddedLiquidity,708,0,708,0,0,0,708,0,344,364,191.50000
ETHH21,XBT,RemovedLiquidity,429,429,0,0,0,429,0,0,168,261,-133.50000
ETHH22,XBT,AddedLiquidity,345,0,345,0,0,0,345,0,28,317,161.0720
ETHH22,XBT,RemovedLiquidity,132,132,0,0,0,132,0,0,24,108,-52.0500
ETHH23,XBT,AddedLiquidity,262,262,0,0,0,262,0,0,47,215,-121.9240
ETHH23,XBT,RemovedLiquidity,128,128,0,0,0,128,0,0,11,117,-56.21250
ETHH24,XBT,AddedLiquidity,29,29,0,0,0,29,0,0,0,29,-13.0000
ETHH24,XBT,RemovedLiquidity,5,5,0,0,0,5,0,0,0,5,-2.50000
ETHM20,XBT,AddedLiquidity,35,0,35,0,0,0,35,0,0,35,9.60000000006254032000
ETHM20,XBT,RemovedLiquidity,51,51,0,0,0,51,0,0,0,51,-11.5000000008866626000
ETHM21,XBT,AddedLiquidity,135,0,135,0,0,0,135,0,14,121,57.50000
ETHM21,XBT,RemovedLiquidity,43,43,0,0,0,43,0,0,16,27,-13.75000
ETHM22,XBT,AddedLiquidity,160,0,160,0,0,0,160,0,18,142,66.7080
ETHM22,XBT,RemovedLiquidity,73,70,3,0,0,70,3,0,20,53,-24.84500
ETHM23,XBT,AddedLiquidity,307,105,202,0,0,105,202,0,31,276,38.2160
