window,model,track,split,rows_seen,labeled_rows,action_macro_f1,target_exposure_mae,target_exposure_correlation,open_recall,close_recall,add_recall,reduce_recall,flip_recall,state_source
WF1,v46,CONDITIONAL_BEHAVIOR,VALIDATION,2930,2930,0.1567502316594908,0.09938466471712831,0.6232233230153521,0.08227848101265822,0.0,0.7427184466019418,0.27202323330106487,0.2916666666666667,
WF1,v46,CONDITIONAL_BEHAVIOR,TEST,2462,2462,0.17609520245853316,0.08532421225465281,0.7504674423062052,0.11764705882352941,0.0,0.5717842323651452,0.46695652173913044,0.25,
WF1,v46,STRICT_AUTONOMOUS,TEST,2462,2462,0.024678070169246943,0.39000704499883276,0.18327272801902558,0.0,0.0,0.12614107883817427,0.0808695652173913,0.0,SIMULATED_ZERO_START
WF1,v3,CONDITIONAL_BEHAVIOR,VALIDATION,2930,2930,0.19275172776300517,0.019270118750697007,0.9657533338471262,0.0,0.0,0.875866851595007,0.6156824782187803,0.0,
WF1,v3,CONDITIONAL_BEHAVIOR,TEST,2462,2462,0.20901630495709883,0.018772425490930788,0.9860688654810507,0.0,0.0,0.7236514522821577,0.7208695652173913,0.0,
WF1,v3,STRICT_AUTONOMOUS,TEST,2462,2462,0.05429655608538431,0.8983797399180629,,0.0,0.0,0.07800829875518672,0.94,0.0,SIMULATED_ZERO_START
WF2,v46,CONDITIONAL_BEHAVIOR,VALIDATION,2462,2462,0.17697986727121784,0.07365755497790215,0.7860955140510274,0.11764705882352941,0.0,0.5136929460580912,0.37565217391304345,0.125,
WF2,v46,CONDITIONAL_BEHAVIOR,TEST,1653,1653,0.14599315669326982,0.07105772806190144,0.5377433685398113,0.0,0.0,0.24968152866242038,0.45397225725094575,0.5,
WF2,v46,STRICT_AUTONOMOUS,TEST,1653,1653,0.011747630405021046,0.2799691561247642,0.0878872131853658,0.0,0.0,0.024203821656050957,0.008827238335435058,0.0,SIMULATED_ZERO_START
WF2,v3,CONDITIONAL_BEHAVIOR,VALIDATION,2462,2462,0.2145454843695263,0.01865158402091108,0.9869180984696575,0.0,0.0,0.7659751037344399,0.7130434782608696,0.0,
WF2,v3,CONDITIONAL_BEHAVIOR,TEST,1653,1653,0.1488781212282204,0.027746322569982385,0.9839144585417187,0.0,0.0,0.3643312101910828,0.8511979823455234,0.0,
WF2,v3,STRICT_AUTONOMOUS,TEST,1653,1653,0.0018973437187936888,1.2196097430359014,-0.04119158910853264,0.0,0.0,0.0012738853503184713,0.9974779319041615,0.0,SIMULATED_ZERO_START
WF3,v46,CONDITIONAL_BEHAVIOR,VALIDATION,1653,1653,0.15232378954632958,0.07727170575273092,0.5183285544192181,0.0,0.0,0.28280254777070063,0.562421185372005,0.5,
WF3,v46,CONDITIONAL_BEHAVIOR,TEST,263,263,0.146326883299588,0.09690762277761995,0.39711088256633736,0.5,0.0,0.5,0.3220338983050847,1.0,
WF3,v46,STRICT_AUTONOMOUS,TEST,263,263,0.09589040169361983,0.14730447396727156,-0.0984670315212577,0.0,0.0,0.45588235294117646,0.288135593220339,0.0,SIMULATED_ZERO_START
WF3,v3,CONDITIONAL_BEHAVIOR,VALIDATION,1653,1653,0.09831237035984214,0.017081931182898462,0.9809007909218616,0.0,0.0,0.42929936305732486,0.8133669609079445,0.0,
WF3,v3,CONDITIONAL_BEHAVIOR,TEST,263,263,0.06446176046176046,0.016338709084351578,0.9609865257631606,0.0,0.0,0.3382352941176471,0.847457627118644,0.0,
WF3,v3,STRICT_AUTONOMOUS,TEST,263,263,0.0075898914518317505,1.1280190408539772,-0.01531127183183401,0.0,0.0,0.029411764705882353,1.0,0.0,SIMULATED_ZERO_START
