event_date,currency,asset_scale,event_count,transaction_type_count,net_amount_raw,net_amount_major,fee_raw,fee_major,last_event_time,last_walletBalance_raw,last_walletBalance_major
2020-05-01,XBT,8,3,2,183953943,1.83953943,0,0,2020-05-01T14:39:40.387000Z,183953943,1.83953943
2020-05-02,XBT,8,2,1,-6970165,-0.06970165,0,0,2020-05-02T12:00:00Z,176983778,1.76983778
2020-05-03,XBT,8,3,1,10618502,0.10618502,0,0,2020-05-03T12:00:00Z,187602280,1.8760228
2020-05-04,XBT,8,3,1,-70973191,-0.70973191,0,0,2020-05-04T12:00:00Z,116629089,1.16629089
2020-05-05,XBT,8,3,1,14372473,0.14372473,0,0,2020-05-05T12:00:00.001000Z,131001562,1.31001562
2020-05-06,XBT,8,2,1,11726275,0.11726275,0,0,2020-05-06T12:00:00.003000Z,142727837,1.42727837
2020-05-07,XBT,8,1,1,25460878,0.25460878,0,0,2020-05-07T12:00:00.005000Z,168188715,1.68188715
2020-05-10,XBT,8,1,1,35157723,0.35157723,0,0,2020-05-10T12:00:00.003000Z,203346438,2.03346438
2020-05-11,XBT,8,1,1,540167,0.00540167,0,0,2020-05-11T12:00:00Z,203886605,2.03886605
2020-05-12,XBT,8,1,1,-3760985,-0.03760985,0,0,2020-05-12T12:00:00.003000Z,200125620,2.0012562
2020-05-22,XBT,8,1,1,32567221,0.32567221,0,0,2020-05-22T12:00:00.003000Z,232692841,2.32692841
2020-05-23,XBT,8,2,1,3277505,0.03277505,0,0,2020-05-23T12:00:00.001000Z,235970346,2.35970346
2020-05-24,XBT,8,1,1,34295,0.00034295,0,0,2020-05-24T12:00:00Z,236004641,2.36004641
2020-05-25,XBT,8,2,1,-6827258,-0.06827258,0,0,2020-05-25T12:00:00.001000Z,229177383,2.29177383
2020-05-26,XBT,8,1,1,652013,0.00652013,0,0,2020-05-26T12:00:00Z,229829396,2.29829396
2020-05-27,XBT,8,1,1,24254772,0.24254772,0,0,2020-05-27T12:00:00.006000Z,254084168,2.54084168
2020-05-28,XBT,8,2,1,17190629,0.17190629,0,0,2020-05-28T12:00:00Z,271274797,2.71274797
