wallet_type_group,transactType,currency,asset_scale,row_count,completed_count,pending_count,canceled_count,amount_raw_completed_sum,amount_major_completed_sum,fee_raw_completed_sum,fee_major_completed_sum,first_event_time,last_event_time
CONVERSION,Conversion,USDT,6,12,12,0,0,0,0,0,0,2022-02-22T12:22:03.573000Z,2022-02-22T16:49:01.177000Z
CONVERSION,Conversion,XBT,8,12,12,0,0,-13682000,-0.13682,0,0,2022-02-22T12:22:03.571000Z,2022-02-22T16:49:01.179000Z
DEPOSIT,Deposit,XBT,8,2,2,0,0,177199051,1.77199051,0,0,2020-05-01T01:05:55.004000Z,2020-05-01T14:39:40.387000Z
FUNDING,Funding,XBT,8,2057,2057,0,0,129849982,1.29849982,-129849982,-1.29849982,2024-10-01T12:00:00.187000Z,2026-07-19T12:00:00.330000Z
REALISED_PNL,RealisedPNL,XBT,8,15021,15021,0,0,9505857152,95.05857152,82247887,0.82247887,2020-05-01T12:00:00Z,2026-07-18T22:11:15.557000Z
SPOT_TRADE,SpotTrade,BMEX,6,158,158,0,0,-7346000000,-7346,0,0,2022-11-12T04:36:03.138000Z,2023-08-31T18:03:55.552000Z
SPOT_TRADE,SpotTrade,USDT,6,160,160,0,0,1847649,1.847649,0,0,2022-11-12T04:36:03.138000Z,2023-10-23T20:26:36.427000Z
SPOT_TRADE,SpotTrade,XBT,8,2,2,0,0,14380000,0.1438,0,0,2023-10-23T20:26:14.841000Z,2023-10-23T20:26:36.427000Z
TRANSFER,Transfer,BMEX,6,16,16,0,0,18346120000,18346.12,0,0,2022-02-01T04:49:15.074000Z,2026-04-29T02:09:35.359000Z
TRANSFER,Transfer,USDT,6,26,26,0,0,886389869,886.389869,0,0,2025-04-02T08:31:33.633000Z,2026-05-30T00:01:00Z
TRANSFER,Transfer,XBT,8,11,11,0,0,2384800,0.023848,0,0,2025-08-15T10:36:09.850000Z,2026-04-18T19:49:12.258000Z
UNREALISED_PNL,UnrealisedPNL,XBT,8,1,0,1,0,0,0,0,0,2026-07-19T12:35:02.029000Z,2026-07-19T12:35:02.029000Z
WITHDRAWAL,Withdrawal,XBT,8,6,5,0,1,-6600180000,-66.0018,180000,0.0018,2021-04-03T13:09:06.512000Z,2022-02-01T13:03:18.100000Z
